year,b,a
1990,0.920238506,0.106856066
1991,0.925368453,0.096857123
1992,0.929452316,0.086941428
1993,0.933102629,0.075195773
1994,0.936979261,0.061796898
1995,0.941201735,0.049473366
1996,0.945365453,0.036095913
1997,0.951960112,0.024985626
1998,0.962692206,0.016987843
1999,0.977381848,0.011029413
2000,0.991100124,0.004311913
2001,1.001639202,-0.003277187
2002,1.010107338,-0.010265292
2003,1.020124465,-0.01302805
2004,1.031719752,-0.013938564
2005,1.041615395,-0.015747558
2006,1.04947785,-0.020830525
2007,1.057147708,-0.028900374
2008,1.066353438,-0.039587977
2009,1.076971222,-0.05190674
2010,1.086226777,-0.064799361
2011,1.093337872,-0.074299952
2012,1.100369449,-0.079291458
2013,1.110821961,-0.077508199
2014,1.121576506,-0.072811867
2015,1.12756485,-0.064943378
2016,1.126911699,-0.055990285
2017,1.121858897,-0.044601081
2018,1.112939818,-0.028829469
2019,1.092514515,-0.009225323
