"","sexo","año","tipo","edad","mxt","qx","px","lx","dx","Lx","Tx","ex","Sx","S0x"
"1","Hombres",1950,"Conciliación",0,0.16526560974812,0.152651581407922,0.847348418592078,1e+05,15265.1581407922,92367.4209296039,4463130.85010888,44.6313085010888,0.847348418592078,1
"2","Hombres",1950,"Conciliación",1,0.0597950818112271,0.058059252922041,0.941940747077959,84734.8418592078,4919.64161481289,82275.0210518013,4370763.42917928,51.5816555891091,0.941940747077959,0.847348418592078
"3","Hombres",1950,"Conciliación",2,0.0316585730295106,0.0311652493679614,0.968834750632039,79815.2002443949,2487.46061897034,78571.4699349097,4288488.40812748,53.7302217496928,0.968834750632039,0.798152002443949
"4","Hombres",1950,"Conciliación",3,0.0193151251369451,0.0191303723688349,0.980869627631165,77327.7396254246,1479.30845347468,76588.0853986872,4209916.93819257,54.4425190570085,0.980869627631165,0.773277396254246
"5","Hombres",1950,"Conciliación",4,0.0127924049676913,0.0127111021843275,0.987288897815672,75848.4311719499,964.117159147589,75366.3725923761,4133328.85279388,54.4945859647847,0.987288897815673,0.758484311719499
"6","Hombres",1950,"Conciliación",5,0.0089686512209124,0.00892861241559133,0.991071387584409,74884.3140128023,668.613015827746,74550.0075048884,4057962.4802015,54.1897530036497,0.991071387584409,0.748843140128023
"7","Hombres",1950,"Conciliación",6,0.00658113742554909,0.00655955276644603,0.993440447233554,74215.7009969746,486.821806788436,73972.2900935803,3983412.47269661,53.6734467125629,0.993440447233554,0.742157009969746
"8","Hombres",1950,"Conciliación",7,0.00503827245005912,0.00502561224819175,0.994974387751808,73728.8791901861,370.532758303649,73543.6128110343,3909440.18260303,53.0245437817996,0.994974387751808,0.737288791901861
"9","Hombres",1950,"Conciliación",8,0.00403565385576207,0.004027527003322,0.995972472996678,73358.3464318825,295.452721173457,73210.6200712958,3835896.569792,52.2898450737825,0.995972472996678,0.733583464318825
"10","Hombres",1950,"Conciliación",9,0.00339514302971282,0.00338938929898611,0.996610610701014,73062.893710709,247.638590096036,72939.074415661,3762685.9497207,51.499273552167,0.996610610701014,0.73062893710709
"11","Hombres",1950,"Conciliación",10,0.00301856860358152,0.00301401959112734,0.996985980408873,72815.255120613,219.466605466463,72705.5218178797,3689746.87530504,50.6727178143269,0.996985980408873,0.72815255120613
"12","Hombres",1950,"Conciliación",11,0.00283643060152284,0.00283241362917585,0.997167586370824,72595.7885151465,205.621300811069,72492.977864741,3617041.35348716,49.8243965313842,0.997167586370824,0.725957885151465
"13","Hombres",1950,"Conciliación",12,0.00279911489040729,0.00279520284345687,0.997204797156543,72390.1672143354,202.345201235829,72288.9946137175,3544548.37562242,48.9645004566379,0.997204797156543,0.723901672143354
"14","Hombres",1950,"Conciliación",13,0.00287975867196599,0.00287561812884409,0.997124381871156,72187.8220130996,207.58460966264,72084.0297082683,3472259.38100871,48.1003482883666,0.997124381871156,0.721878220130996
"15","Hombres",1950,"Conciliación",14,0.00304583495401448,0.0030412034521261,0.996958796547874,71980.237403437,218.906546476189,71870.7841301989,3400175.35130044,47.2376234638271,0.996958796547874,0.71980237403437
"16","Hombres",1950,"Conciliación",15,0.00327940957691089,0.00327404111601536,0.996725958883985,71761.3308569608,234.949547765671,71643.8560830779,3328304.56717024,46.3801956767556,0.996725958883985,0.717613308569608
"17","Hombres",1950,"Conciliación",16,0.00356269204876456,0.0035563569464567,0.996443643053543,71526.3813091951,254.373343023867,71399.1946376832,3256660.71108716,45.5309027449498,0.996443643053543,0.715263813091951
"18","Hombres",1950,"Conciliación",17,0.00388403527569439,0.00387650703066759,0.996123492969332,71272.0079661712,276.286439970659,71133.8647461859,3185261.51644948,44.6916202776459,0.996123492969332,0.712720079661712
"19","Hombres",1950,"Conciliación",18,0.00423202539215235,0.00422308928161579,0.995776910718384,70995.7215262006,299.821270617877,70845.8108908916,3114127.65170329,43.8635960697158,0.995776910718384,0.709957215262006
"20","Hombres",1950,"Conciliación",19,0.00459472282033502,0.00458419127620025,0.9954158087238,70695.9002555827,324.083529214766,70533.8584909753,3043281.8408124,43.0475010546609,0.9954158087238,0.706959002555827
"21","Hombres",1950,"Conciliación",20,0.00496791241978105,0.00495560291913631,0.995044397080864,70371.8167263679,348.734780394114,70197.4493361709,2972747.98232142,42.2434451831844,0.995044397080864,0.703718167263679
"22","Hombres",1950,"Conciliación",21,0.00534180491822567,0.00532757548376498,0.994672424516235,70023.0819459738,373.053254673036,69836.5553186373,2902550.53298525,41.4513393629933,0.994672424516235,0.700230819459738
"23","Hombres",1950,"Conciliación",22,0.00571482067918446,0.00569853761887174,0.994301462381128,69650.0286913008,396.903308652873,69451.5770369743,2832713.97766662,40.6706792644928,0.994301462381128,0.696500286913008
"24","Hombres",1950,"Conciliación",23,0.00607928435239557,0.00606086150214954,0.99393913849785,69253.1253826479,419.733601535226,69043.2585818803,2763262.40062964,39.9009053434288,0.99393913849785,0.692531253826479
"25","Hombres",1950,"Conciliación",24,0.00643905952835866,0.00641839531360822,0.993581604686392,68833.3917811127,441.799919227652,68612.4918214989,2694219.14204776,39.1411649539989,0.993581604686392,0.688333917811127
"26","Hombres",1950,"Conciliación",25,0.0067870528109029,0.0067640986634793,0.993235901336521,68391.591861885,462.607475106198,68160.2881243319,2625606.65022626,38.3907813628407,0.993235901336521,0.68391591861885
"27","Hombres",1950,"Conciliación",26,0.00712398077700765,0.00709869529260447,0.992901304707396,67928.9843867788,482.20716169783,67687.8808059299,2557446.36210193,37.6488237707215,0.992901304707396,0.679289843867788
"28","Hombres",1950,"Conciliación",27,0.0074525382009602,0.00742487113308195,0.992575128866918,67446.777225081,500.783629237913,67196.385410462,2489758.481296,36.9144173188182,0.992575128866918,0.67446777225081
"29","Hombres",1950,"Conciliación",28,0.00777005493671654,0.00773998488284203,0.992260015117158,66945.9935958431,518.160978398665,66686.9131066438,2422562.09588554,36.186812171475,0.992260015117158,0.669459935958431
"30","Hombres",1950,"Conciliación",29,0.00807956558536111,0.0080470572220637,0.991952942777936,66427.8326174444,534.548570210245,66160.5583323393,2355875.18277889,35.4651821375281,0.991952942777936,0.664278326174444
"31","Hombres",1950,"Conciliación",30,0.00837961343361903,0.00834465095898166,0.991655349041018,65893.2840472342,549.856455915203,65618.3558192766,2289714.62444656,34.7488315016326,0.991655349041018,0.658932840472342
"32","Hombres",1950,"Conciliación",31,0.0086751998363813,0.00863773280726316,0.991362267192737,65343.427591319,564.419068244561,65061.2180571967,2224096.26862728,34.0370309702388,0.991362267192737,0.65343427591319
"33","Hombres",1950,"Conciliación",32,0.00895956994064285,0.00891961199687813,0.991080388003122,64779.0085230744,577.803621568286,64490.1067122903,2159035.05057008,33.3292388969033,0.991080388003122,0.647790085230744
"34","Hombres",1950,"Conciliación",33,0.00925186165508913,0.00920926025418044,0.99079073974582,64201.2049015061,591.245604569935,63905.5820992212,2094544.94385779,32.6246983537322,0.99079073974582,0.642012049015061
"35","Hombres",1950,"Conciliación",34,0.00953321217685492,0.00948798668177067,0.990512013318229,63609.9592969362,603.530446637305,63308.1940736175,2030639.36175857,31.9232928963119,0.990512013318229,0.636099592969362
"36","Hombres",1950,"Conciliación",35,0.00982304314130716,0.00977503285657822,0.990224967143422,63006.4288502989,615.88991218733,62698.4838942052,1967331.16768495,31.2242925616252,0.990224967143422,0.630064288502989
"37","Hombres",1950,"Conciliación",36,0.0101222332342253,0.0100712614057693,0.989928738594231,62390.5389381116,628.351426892548,62076.3632246653,1904632.68379075,30.5275882562908,0.989928738594231,0.623905389381116
"38","Hombres",1950,"Conciliación",37,0.0104222845431992,0.0103682540959969,0.989631745904003,61762.187511219,640.366053640924,61442.0044843986,1842556.32056608,29.8330806406652,0.989631745904003,0.61762187511219
"39","Hombres",1950,"Conciliación",38,0.0107387253689504,0.0106813732022593,0.989318626797741,61121.8214575781,652.864985790251,60795.388964683,1781114.31608168,29.1403998376893,0.989318626797741,0.611218214575781
