Edad,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
 Nacimientos_mujeres ," 624,115 "," 637,542 "," 656,048 "," 678,083 "," 701,978 "," 725,233 "," 745,975 "," 767,729 "," 794,375 "," 822,472 "," 850,877 "," 877,161 "," 903,142 "," 929,325 "," 954,727 "," 976,642 "," 998,364 "," 1,022,103 "," 1,047,594 "," 1,071,745 "," 1,094,332 "," 1,114,869 "," 1,136,306 "," 1,153,864 "," 1,164,224 "," 1,166,724 "," 1,161,261 "," 1,153,938 "," 1,149,388 "," 1,149,084 "," 1,152,438 "," 1,158,605 "," 1,167,918 "," 1,177,598 "," 1,187,572 "," 1,194,995 "," 1,199,760 "," 1,205,122 "," 1,212,204 "," 1,222,975 "," 1,234,371 "," 1,242,861 "," 1,244,546 "," 1,239,757 "," 1,230,457 "," 1,218,178 "," 1,205,322 "," 1,197,326 "," 1,197,235 "," 1,201,325 "," 1,197,844 "," 1,186,099 "," 1,169,995 "," 1,156,665 "," 1,148,576 "," 1,145,143 "," 1,146,681 "," 1,151,940 "," 1,156,684 "," 1,156,751 "," 1,149,732 "," 1,137,434 "," 1,122,546 "," 1,112,236 "," 1,103,118 "," 1,089,340 "," 1,066,821 "," 1,050,633 "," 1,048,908 "," 1,046,573 "," 1,047,621 "," 1,030,966 "," 1,016,920 "," 1,007,404 "," 998,555 "," 987,307 "," 974,351 "," 961,876 "," 950,676 "," 939,965 "," 928,807 "," 917,083 "," 905,327 "," 893,980 "," 882,817 "," 871,696 "," 860,565 "," 849,419 "," 838,595 "," 827,956 "," 817,659 "," 807,774 "," 797,906 "," 788,014 "," 778,248 "," 768,638 "," 759,198 "," 749,944 "," 740,632 "," 731,344 "," 722,085 "," 712,914 "," 703,974 "," 695,049 "," 686,134 "," 677,231 "," 668,412 "," 659,795 "," 651,269 "," 642,805 "," 634,407 "," 626,128 "," 618,031 "," 610,072 "," 602,220 "," 594,473 "," 586,841 "," 579,339 "," 571,958 "," 564,680 "," 560,881 "
0,"568,159 ","577,657 ","594,071 ","613,919 ","637,887 ","664,331 ","687,186 ","709,353 ","734,135 ","761,687 ","789,861 ","817,039 ","843,057 ","869,110 ","894,980 ","918,818 ","940,802 ","963,564 ","988,138 ","1,013,052 ","1,035,566 ","1,057,292 ","1,079,355 ","1,098,834 ","1,113,078 ","1,120,216 ","1,119,863 ","1,114,898 ","1,110,564 ","1,109,767 ","1,112,820 ","1,118,950 ","1,127,826 ","1,138,284 ","1,148,996 ","1,158,565 ","1,165,584 ","1,171,628 ","1,178,909 ","1,187,825 ","1,199,002 ","1,211,052 ","1,218,077 ","1,217,522 ","1,211,511 ","1,201,764 ","1,190,169 ","1,180,559 ","1,177,188 ","1,179,706 ","1,180,786 ","1,174,619 ","1,162,310 ","1,149,001 ","1,139,422 ","1,134,996 ","1,135,595 ","1,140,270 ","1,145,414 ","1,147,389 ","1,143,986 ","1,134,496 ","1,120,894 ","1,108,343 ","1,098,548 ","1,086,717 ","1,068,484 ","1,049,485 ","1,041,110 ","1,039,522 ","1,034,797 ","1,041,060 ","1,024,645 ","1,010,918 ","1,001,632 ","993,052 ","982,046 ","969,356 ","957,116 ","946,150 ","935,649 ","924,701 ","913,175 ","901,613 ","890,446 ","879,457 ","868,499 ","857,525 ","846,529 ","835,847 ","825,343 ","815,173 ","805,408 ","795,656 ","785,873 ","776,212 ","766,700 ","757,355 ","748,190 ","738,964 ","729,758 ","720,576 ","711,480 ","702,609 ","693,751 ","684,900 ","676,058 ","667,297 ","658,735 ","650,262 ","641,847 ","633,496 ","625,263 ","617,208 ","609,289 ","601,476 ","593,765 ","586,168 ","578,699 ","571,350 ","564,102 "
1,"516,674 ","524,131 ","534,601 ","551,292 ","572,190 ","598,676 ","625,741 ","649,509 ","672,357 ","697,516 ","724,941 ","752,809 ","779,936 ","806,067 ","832,251 ","858,393 ","882,577 ","904,743 ","927,696 ","952,605 ","976,468 ","999,848 ","1,024,410 ","1,047,745 ","1,068,275 ","1,083,771 ","1,092,545 ","1,093,888 ","1,090,524 ","1,087,948 ","1,088,866 ","1,093,255 ","1,100,399 ","1,110,168 ","1,121,409 ","1,132,724 ","1,142,724 ","1,150,078 ","1,156,557 ","1,163,836 ","1,172,842 ","1,184,891 ","1,197,655 ","1,205,123 ","1,205,093 ","1,199,621 ","1,190,310 ","1,178,902 ","1,169,301 ","1,165,685 ","1,168,285 ","1,170,490 ","1,165,742 ","1,154,664 ","1,142,231 ","1,134,099 ","1,131,776 ","1,134,207 ","1,138,674 ","1,142,582 ","1,144,191 ","1,140,449 ","1,130,337 ","1,116,372 ","1,103,314 ","1,092,467 ","1,080,174 ","1,062,388 ","1,044,247 ","1,036,319 ","1,037,454 ","1,021,837 ","1,028,295 ","1,012,549 ","999,333 ","990,592 ","982,468 ","971,977 ","959,764 ","948,002 ","937,461 ","927,378 ","916,822 ","905,684 ","894,485 ","883,667 ","873,007 ","862,364 ","851,690 ","840,980 ","830,570 ","820,324 ","810,398 ","800,865 ","791,332 ","781,760 ","772,299 ","762,977 ","753,812 ","744,820 ","735,758 ","726,708 ","717,676 ","708,721 ","699,985 ","691,256 ","682,528 ","673,803 ","665,153 ","656,696 ","648,323 ","640,004 ","631,744 ","623,597 ","615,624 ","607,784 ","600,045 ","592,405 ","584,874 ","577,469 ","570,180 "
2,"483,825 ","492,911 ","501,142 ","512,434 ","529,988 ","552,614 ","579,664 ","607,361 ","631,551 ","654,818 ","680,026 ","707,339 ","735,311 ","762,641 ","788,980 ","815,548 ","842,105 ","866,529 ","888,970 ","912,349 ","936,579 ","961,035 ","986,460 ","1,011,913 ","1,035,864 ","1,056,933 ","1,073,044 ","1,082,289 ","1,083,958 ","1,081,119 ","1,079,118 ","1,080,411 ","1,085,029 ","1,092,401 ","1,102,361 ","1,113,642 ","1,124,830 ","1,134,596 ","1,141,799 ","1,148,199 ","1,155,443 ","1,164,451 ","1,176,534 ","1,189,412 ","1,197,082 ","1,197,292 ","1,191,969 ","1,182,585 ","1,170,976 ","1,160,995 ","1,157,322 ","1,160,802 ","1,164,129 ","1,160,347 ","1,150,002 ","1,138,940 ","1,132,804 ","1,132,216 ","1,134,439 ","1,137,739 ","1,141,281 ","1,142,524 ","1,138,138 ","1,127,643 ","1,113,195 ","1,099,169 ","1,087,894 ","1,075,982 ","1,058,952 ","1,041,226 ","1,035,600 ","1,036,599 ","1,021,026 ","1,027,531 ","1,011,836 ","998,675 ","989,977 ","981,898 ","971,448 ","959,275 ","947,549 ","937,042 ","926,989 ","916,463 ","905,351 ","894,178 ","883,383 ","872,744 ","862,121 ","851,465 ","840,773 ","830,378 ","820,146 ","810,234 ","800,712 ","791,191 ","781,629 ","772,178 ","762,866 ","753,709 ","744,724 ","735,670 ","726,627 ","717,600 ","708,652 ","699,921 ","691,196 ","682,473 ","673,752 ","665,106 ","656,653 ","648,283 ","639,967 ","631,710 ","623,566 ","615,595 ","607,757 ","600,020 ","592,381 ","584,853 ","577,449 "
3,"460,137 ","470,070 ","479,513 ","488,345 ","500,309 ","518,912 ","541,894 ","569,251 ","596,978 ","621,336 ","644,665 ","669,862 ","697,197 ","725,211 ","752,599 ","779,107 ","805,816 ","832,439 ","856,870 ","879,391 ","902,343 ","926,792 ","952,212 ","978,077 ","1,003,983 ","1,028,257 ","1,049,509 ","1,065,722 ","1,075,213 ","1,077,255 ","1,074,757 ","1,073,041 ","1,074,523 ","1,079,253 ","1,086,660 ","1,096,525 ","1,107,594 ","1,118,509 ","1,128,019 ","1,135,034 ","1,141,279 ","1,148,481 ","1,157,541 ","1,169,662 ","1,182,630 ","1,190,426 ","1,190,656 ","1,185,172 ","1,175,529 ","1,163,535 ","1,153,522 ","1,150,700 ","1,155,192 ","1,159,369 ","1,156,257 ","1,147,211 ","1,138,076 ","1,133,618 ","1,132,836 ","1,133,899 ","1,136,806 ","1,139,984 ","1,140,604 ","1,135,865 ","1,124,932 ","1,109,596 ","1,095,197 ","1,084,290 ","1,073,059 ","1,056,408 ","1,040,768 ","1,035,099 ","1,036,115 ","1,020,578 ","1,027,102 ","1,011,440 ","998,307 ","989,635 ","981,579 ","971,152 ","959,000 ","947,294 ","936,806 ","926,770 ","916,259 ","905,162 ","894,003 ","883,221 ","872,593 ","861,981 ","851,336 ","840,653 ","830,266 ","820,043 ","810,138 ","800,624 ","791,109 ","781,553 ","772,107 ","762,800 ","753,649 ","744,668 ","735,618 ","726,578 ","717,555 ","708,610 ","699,882 ","691,161 ","682,440 ","673,721 ","665,077 ","656,626 ","648,259 ","639,944 ","631,689 ","623,546 ","615,577 ","607,740 ","600,004 ","592,367 ","584,839 "
4,"440,962 ","451,303 ","461,388 ","471,193 ","480,510 ","493,190 ","512,023 ","535,186 ","562,452 ","590,191 ","614,568 ","637,915 ","663,105 ","690,416 ","718,416 ","745,851 ","772,370 ","799,070 ","825,580 ","849,922 ","872,127 ","895,139 ","920,075 ","945,729 ","971,937 ","998,057 ","1,022,348 ","1,043,557 ","1,059,948 ","1,069,712 ","1,071,972 ","1,069,698 ","1,068,149 ","1,069,707 ","1,074,425 ","1,081,700 ","1,091,331 ","1,102,118 ","1,112,744 ","1,122,015 ","1,128,832 ","1,135,023 ","1,142,284 ","1,151,367 ","1,163,552 ","1,176,595 ","1,184,341 ","1,184,363 ","1,178,593 ","1,168,568 ","1,156,549 ","1,147,379 ","1,145,541 ","1,150,837 ","1,155,635 ","1,153,753 ","1,146,574 ","1,139,060 ","1,134,420 ","1,132,509 ","1,133,180 ","1,135,732 ","1,138,318 ","1,138,599 ","1,133,449 ","1,121,686 ","1,106,027 ","1,091,990 ","1,081,722 ","1,070,832 ","1,056,057 ","1,040,400 ","1,034,745 ","1,035,781 ","1,020,265 ","1,026,806 ","1,011,164 ","998,051 ","989,395 ","981,355 ","970,943 ","958,806 ","947,114 ","936,638 ","926,613 ","916,114 ","905,027 ","893,877 ","883,103 ","872,484 ","861,880 ","851,241 ","840,565 ","830,185 ","819,967 ","810,068 ","800,558 ","791,048 ","781,496 ","772,055 ","762,751 ","753,603 ","744,625 ","735,578 ","726,541 ","717,521 ","708,578 ","699,853 ","691,133 ","682,414 ","673,697 ","665,055 ","656,606 ","648,239 ","639,926 ","631,672 ","623,531 ","615,563 ","607,727 ","599,992 ","592,356 "
5,"424,413 ","434,897 ","445,284 ","455,588 ","465,720 ","475,519 ","488,376 ","507,321 ","530,376 ","557,610 ","585,320 ","609,698 ","633,022 ","658,168 ","685,437 ","713,422 ","740,795 ","767,265 ","793,809 ","820,148 ","844,219 ","866,403 ","889,660 ","914,723 ","940,644 ","966,998 ","993,055 ","1,017,241 ","1,038,585 ","1,055,173 ","1,065,069 ","1,067,489 ","1,065,353 ","1,063,870 ","1,065,406 ","1,069,985 ","1,077,029 ","1,086,385 ","1,096,873 ","1,107,248 ","1,116,291 ","1,123,037 ","1,129,280 ","1,136,561 ","1,145,715 ","1,157,964 ","1,170,928 ","1,178,433 ","1,178,152 ","1,171,989 ","1,161,935 ","1,150,737 ","1,142,538 ","1,141,496 ","1,147,391 ","1,153,356 ","1,153,268 ","1,147,654 ","1,139,964 ","1,134,231 ","1,131,936 ","1,132,265 ","1,134,251 ","1,136,519 ","1,136,414 ","1,130,490 ","1,118,428 ","1,103,121 ","1,089,693 ","1,079,737 ","1,070,538 ","1,055,756 ","1,040,113 ","1,034,475 ","1,035,523 ","1,020,025 ","1,026,577 ","1,010,951 ","997,852 ","989,209 ","981,181 ","970,780 ","958,654 ","946,972 ","936,505 ","926,489 ","915,998 ","904,919 ","893,776 ","883,009 ","872,396 ","861,798 ","851,165 ","840,493 ","830,118 ","819,905 ","810,010 ","800,504 ","790,998 ","781,449 ","772,011 ","762,710 ","753,565 ","744,590 ","735,545 ","726,510 ","717,492 ","708,551 ","699,827 ","691,109 ","682,392 ","673,677 ","665,036 ","656,588 ","648,223 ","639,911 ","631,658 ","623,517 ","615,550 ","607,715 ","599,981 "
6,"408,383 ","420,070 ","430,543 ","441,059 ","451,587 ","462,026 ","471,946 ","484,891 ","503,733 ","526,757 ","553,956 ","581,638 ","605,968 ","629,239 ","654,339 ","681,565 ","709,451 ","736,747 ","763,045 ","789,390 ","815,484 ","839,474 ","861,761 ","885,088 ","910,354 ","936,372 ","962,637 ","988,559 ","1,012,840 ","1,034,329 ","1,050,996 ","1,060,989 ","1,063,511 ","1,061,433 ","1,059,928 ","1,061,323 ","1,065,681 ","1,072,458 ","1,081,523 ","1,091,762 ","1,101,892 ","1,110,855 ","1,117,647 ","1,123,915 ","1,131,264 ","1,140,491 ","1,152,663 ","1,165,367 ","1,172,544 ","1,171,862 ","1,165,660 ","1,156,391 ","1,146,140 ","1,138,725 ","1,138,283 ","1,145,306 ","1,152,986 ","1,154,406 ","1,148,622 ","1,139,880 ","1,133,764 ","1,131,138 ","1,130,932 ","1,132,622 ","1,134,533 ","1,133,697 ","1,127,487 ","1,115,757 ","1,101,034 ","1,087,909 ","1,079,478 ","1,070,276 ","1,055,504 ","1,039,879 ","1,034,252 ","1,035,311 ","1,019,826 ","1,026,388 ","1,010,774 ","997,686 ","989,054 ","981,035 ","970,643 ","958,526 ","946,852 ","936,392 ","926,384 ","915,899 ","904,826 ","893,689 ","882,928 ","872,320 ","861,727 ","851,098 ","840,431 ","830,060 ","819,851 ","809,959 ","800,456 ","790,953 ","781,407 ","771,971 ","762,673 ","753,530 ","744,557 ","735,514 ","726,482 ","717,466 ","708,526 ","699,804 ","691,088 ","682,372 ","673,658 ","665,018 ","656,571 ","648,207 ","639,896 ","631,644 ","623,504 ","615,538 ","607,704 "
7,"392,893 ","405,145 ","416,781 ","427,328 ","438,000 ","448,729 ","459,235 ","469,212 ","482,076 ","500,894 ","523,899 ","551,068 ","578,678 ","602,938 ","626,162 ","651,213 ","678,329 ","706,123 ","733,237 ","759,328 ","785,456 ","811,430 ","835,427 ","857,748 ","881,232 ","906,574 ","932,489 ","958,600 ","984,590 ","1,008,986 ","1,030,517 ","1,047,238 ","1,057,288 ","1,059,840 ","1,057,734 ","1,056,100 ","1,057,289 ","1,061,388 ","1,067,893 ","1,076,716 ","1,086,716 ","1,096,763 ","1,105,753 ","1,112,560 ","1,118,894 ","1,126,320 ","1,135,489 ","1,147,421 ","1,159,791 ","1,166,555 ","1,165,812 ","1,160,355 ","1,151,986 ","1,142,502 ","1,135,697 ","1,136,352 ","1,145,013 ","1,154,140 ","1,155,401 ","1,148,599 ","1,139,485 ","1,133,057 ","1,129,921 ","1,129,435 ","1,130,793 ","1,132,024 ","1,130,920 ","1,125,020 ","1,113,834 ","1,099,402 ","1,087,670 ","1,079,240 ","1,070,046 ","1,055,289 ","1,039,675 ","1,034,059 ","1,035,127 ","1,019,654 ","1,026,223 ","1,010,620 ","997,541 ","988,917 ","980,905 ","970,521 ","958,412 ","946,745 ","936,292 ","926,289 ","915,810 ","904,742 ","893,611 ","882,854 ","872,251 ","861,662 ","851,037 ","840,374 ","830,006 ","819,800 ","809,911 ","800,411 ","790,911 ","781,368 ","771,934 ","762,639 ","753,497 ","744,527 ","735,486 ","726,455 ","717,440 ","708,502 ","699,782 ","691,067 ","682,352 ","673,639 ","665,001 ","656,555 ","648,192 ","639,882 ","631,631 ","623,492 ","615,526 "
8,"379,793 ","390,389 ","402,573 ","414,240 ","424,896 ","435,702 ","446,468 ","456,996 ","466,901 ","479,758 ","498,568 ","521,558 ","548,656 ","576,177 ","600,381 ","623,553 ","648,496 ","675,517 ","703,131 ","730,037 ","755,930 ","781,929 ","807,857 ","831,843 ","854,280 ","877,824 ","903,058 ","928,822 ","954,981 ","981,064 ","1,005,473 ","1,027,033 ","1,043,770 ","1,053,824 ","1,056,339 ","1,054,105 ","1,052,275 ","1,053,220 ","1,057,063 ","1,063,339 ","1,071,938 ","1,081,851 ","1,091,914 ","1,100,909 ","1,107,783 ","1,114,192 ","1,121,568 ","1,130,526 ","1,142,148 ","1,154,102 ","1,160,777 ","1,160,726 ","1,156,126 ","1,148,497 ","1,139,613 ","1,133,879 ","1,136,112 ","1,146,153 ","1,155,132 ","1,155,418 ","1,148,257 ","1,138,838 ","1,131,918 ","1,128,524 ","1,127,736 ","1,128,455 ","1,129,439 ","1,128,626 ","1,123,228 ","1,112,323 ","1,099,168 ","1,087,441 ","1,079,019 ","1,069,837 ","1,055,091 ","1,039,488 ","1,033,881 ","1,034,958 ","1,019,495 ","1,026,070 ","1,010,476 ","997,406 ","988,788 ","980,784 ","970,407 ","958,304 ","946,643 ","936,196 ","926,199 ","915,725 ","904,662 ","893,535 ","882,783 ","872,183 ","861,598 ","850,977 ","840,317 ","829,953 ","819,750 ","809,864 ","800,367 ","790,869 ","781,328 ","771,897 ","762,603 ","753,464 ","744,495 ","735,456 ","726,427 ","717,414 ","708,478 ","699,759 ","691,045 ","682,331 ","673,620 ","664,982 ","656,538 ","648,176 ","639,866 ","631,616 ","623,478 "
