Edad / Año,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
 Nacimientos_hombres ," 655,320 "," 669,420 "," 688,851 "," 711,987 "," 737,076 "," 761,495 "," 783,273 "," 806,116 "," 834,094 "," 863,595 "," 893,421 "," 921,020 "," 948,300 "," 975,791 "," 1,002,463 "," 1,025,475 "," 1,048,282 "," 1,073,209 "," 1,099,973 "," 1,125,333 "," 1,149,048 "," 1,170,613 "," 1,193,122 "," 1,211,558 "," 1,222,435 "," 1,225,060 "," 1,219,324 "," 1,211,634 "," 1,206,857 "," 1,206,538 "," 1,210,060 "," 1,216,535 "," 1,226,313 "," 1,236,477 "," 1,246,950 "," 1,254,745 "," 1,259,749 "," 1,265,379 "," 1,272,814 "," 1,284,123 "," 1,296,089 "," 1,305,005 "," 1,306,773 "," 1,301,744 "," 1,291,980 "," 1,279,087 "," 1,265,589 "," 1,257,192 "," 1,257,097 "," 1,261,391 "," 1,257,736 "," 1,245,404 "," 1,228,494 "," 1,214,498 "," 1,206,004 "," 1,202,400 "," 1,204,015 "," 1,209,537 "," 1,214,518 "," 1,214,589 "," 1,207,219 "," 1,194,306 "," 1,178,674 "," 1,167,848 "," 1,158,274 "," 1,143,806 "," 1,120,162 "," 1,103,164 "," 1,101,353 "," 1,098,901 "," 1,100,002 "," 1,082,514 "," 1,067,766 "," 1,057,774 "," 1,048,483 "," 1,036,672 "," 1,023,069 "," 1,009,969 "," 998,210 "," 986,963 "," 975,247 "," 962,937 "," 950,593 "," 938,679 "," 926,958 "," 915,281 "," 903,593 "," 891,889 "," 880,525 "," 869,354 "," 858,542 "," 848,162 "," 837,802 "," 827,414 "," 817,161 "," 807,069 "," 797,158 "," 787,441 "," 777,664 "," 767,912 "," 758,189 "," 748,560 "," 739,172 "," 729,801 "," 720,441 "," 711,093 "," 701,833 "," 692,785 "," 683,833 "," 674,945 "," 666,127 "," 657,435 "," 648,932 "," 640,576 "," 632,331 "," 624,196 "," 616,183 "," 608,306 "," 600,556 "," 592,914 "," 588,925 "
0,"580,871 ","590,635 ","607,681 ","628,132 ","653,135 ","681,057 ","704,873 ","727,988 ","753,757 ","782,328 ","811,492 ","839,600 ","866,509 ","893,470 ","920,256 ","944,944 ","967,696 ","991,225 ","1,016,630 ","1,042,422 ","1,065,503 ","1,088,005 ","1,111,079 ","1,131,239 ","1,146,018 ","1,153,502 ","1,153,306 ","1,148,387 ","1,144,107 ","1,143,502 ","1,146,922 ","1,153,492 ","1,162,879 ","1,173,891 ","1,185,185 ","1,195,340 ","1,202,896 ","1,209,482 ","1,217,384 ","1,226,728 ","1,238,443 ","1,251,543 ","1,259,330 ","1,259,034 ","1,253,104 ","1,243,235 ","1,231,406 ","1,221,610 ","1,218,166 ","1,220,762 ","1,222,259 ","1,216,407 ","1,203,969 ","1,190,142 ","1,179,931 ","1,174,839 ","1,175,024 ","1,179,701 ","1,185,963 ","1,189,299 ","1,186,154 ","1,176,579 ","1,162,511 ","1,149,416 ","1,139,340 ","1,127,238 ","1,108,479 ","1,088,809 ","1,080,101 ","1,078,390 ","1,083,840 ","1,091,594 ","1,074,413 ","1,060,069 ","1,050,369 ","1,041,420 ","1,029,917 ","1,016,652 ","1,003,853 ","992,389 ","981,411 ","969,963 ","957,905 ","945,808 ","934,124 ","922,625 ","911,156 ","899,670 ","888,157 ","876,974 ","865,976 ","855,327 ","845,102 ","834,888 ","824,642 ","814,522 ","804,558 ","794,767 ","785,166 ","775,499 ","765,851 ","756,229 ","746,695 ","737,398 ","728,113 ","718,835 ","709,565 ","700,380 ","691,403 ","682,519 ","673,695 ","664,938 ","656,304 ","647,857 ","639,553 ","631,358 ","623,271 ","615,302 ","607,468 ","599,759 ","592,156 "
1,"525,478 ","533,262 ","544,204 ","561,504 ","582,993 ","610,778 ","639,269 ","663,881 ","687,721 ","713,797 ","742,216 ","771,005 ","798,896 ","825,872 ","852,987 ","879,903 ","904,717 ","927,538 ","951,184 ","976,796 ","1,001,227 ","1,025,118 ","1,050,593 ","1,074,866 ","1,096,180 ","1,112,372 ","1,121,624 ","1,123,441 ","1,120,358 ","1,117,966 ","1,119,272 ","1,124,186 ","1,131,854 ","1,142,153 ","1,154,025 ","1,166,107 ","1,176,887 ","1,185,033 ","1,192,321 ","1,200,379 ","1,209,972 ","1,222,838 ","1,236,788 ","1,245,147 ","1,245,590 ","1,240,323 ","1,230,909 ","1,219,204 ","1,209,146 ","1,205,058 ","1,208,070 ","1,211,354 ","1,206,964 ","1,194,957 ","1,180,959 ","1,170,941 ","1,166,944 ","1,168,497 ","1,174,604 ","1,181,933 ","1,185,491 ","1,182,365 ","1,172,090 ","1,157,396 ","1,143,833 ","1,132,901 ","1,120,546 ","1,102,270 ","1,083,364 ","1,074,869 ","1,075,835 ","918,390 ","923,665 ","918,817 ","903,128 ","912,303 ","911,055 ","907,059 ","900,528 ","893,255 ","886,551 ","879,618 ","871,938 ","863,485 ","854,984 ","846,844 ","838,712 ","830,126 ","821,251 ","812,423 ","804,191 ","792,892 ","788,151 ","780,349 ","772,485 ","764,762 ","757,320 ","750,129 ","743,040 ","736,147 ","729,215 ","722,234 ","715,057 ","707,654 ","700,313 ","692,908 ","685,513 ","678,102 ","670,734 ","663,595 ","654,257 ","647,403 ","641,952 ","634,595 ","627,253 ","619,940 ","612,663 ","605,456 ","598,331 ","591,341 ","584,507 "
2,"492,568 ","501,972 ","510,723 ","522,494 ","540,544 ","563,849 ","592,164 ","621,112 ","646,183 ","670,383 ","696,536 ","724,851 ","753,636 ","781,733 ","808,985 ","836,364 ","863,488 ","888,455 ","911,515 ","935,481 ","960,240 ","985,140 ","1,010,993 ","1,037,234 ","1,062,133 ","1,084,014 ","1,100,773 ","1,110,581 ","1,112,702 ","1,110,024 ","1,108,171 ","1,109,799 ","1,114,849 ","1,122,636 ","1,133,077 ","1,145,039 ","1,157,065 ","1,167,730 ","1,175,848 ","1,183,197 ","1,191,374 ","1,201,031 ","1,213,882 ","1,228,010 ","1,236,713 ","1,237,456 ","1,232,302 ","1,222,710 ","1,210,506 ","1,199,644 ","1,195,784 ","1,200,263 ","1,204,725 ","1,200,634 ","1,188,412 ","1,174,596 ","1,165,631 ","1,162,926 ","1,165,830 ","1,172,931 ","1,180,457 ","1,183,991 ","1,180,153 ","1,169,238 ","1,154,089 ","1,139,736 ","1,128,566 ","1,116,632 ","1,099,019 ","1,080,289 ","1,074,095 ","1,013,373 ","863,613 ","876,301 ","869,783 ","862,831 ","874,783 ","876,275 ","875,018 ","870,871 ","865,333 ","859,845 ","853,884 ","847,675 ","840,752 ","833,758 ","826,981 ","820,175 ","812,620 ","805,261 ","797,678 ","788,016 ","780,833 ","777,787 ","770,873 ","764,081 ","757,118 ","750,825 ","744,270 ","737,343 ","731,002 ","724,566 ","717,843 ","710,896 ","703,761 ","696,776 ","689,709 ","682,502 ","675,316 ","668,192 ","661,243 ","652,114 ","645,303 ","639,927 ","632,737 ","625,494 ","618,344 ","611,194 ","604,085 ","597,070 ","590,168 "
3,"469,166 ","479,364 ","489,210 ","498,519 ","510,854 ","529,937 ","553,574 ","582,099 ","611,069 ","636,278 ","660,538 ","686,694 ","714,997 ","743,816 ","771,972 ","799,306 ","826,689 ","853,778 ","878,691 ","901,737 ","925,185 ","950,084 ","975,855 ","1,002,094 ","1,028,737 ","1,053,915 ","1,075,921 ","1,092,732 ","1,102,652 ","1,105,017 ","1,102,625 ","1,100,982 ","1,102,719 ","1,107,832 ","1,115,645 ","1,126,023 ","1,137,838 ","1,149,677 ","1,160,189 ","1,168,257 ","1,175,636 ","1,183,867 ","1,193,570 ","1,206,563 ","1,220,933 ","1,229,801 ","1,230,528 ","1,225,121 ","1,214,995 ","1,201,996 ","1,191,371 ","1,188,920 ","1,194,479 ","1,199,156 ","1,194,828 ","1,182,784 ","1,169,996 ","1,162,298 ","1,160,876 ","1,164,658 ","1,171,884 ","1,179,368 ","1,182,216 ","1,177,769 ","1,166,433 ","1,150,575 ","1,136,034 ","1,125,272 ","1,113,943 ","1,096,473 ","1,079,838 ","1,040,621 ","980,119 ","839,912 ","851,042 ","849,424 ","843,899 ","857,507 ","859,957 ","859,887 ","856,614 ","851,797 ","846,910 ","841,647 ","836,179 ","829,977 ","823,742 ","817,542 ","811,366 ","804,354 ","797,690 ","789,427 ","781,837 ","775,393 ","772,995 ","766,668 ","760,315 ","753,737 ","747,692 ","741,343 ","734,649 ","728,551 ","722,303 ","715,729 ","708,914 ","701,918 ","695,070 ","688,127 ","681,021 ","673,938 ","666,905 ","660,048 ","651,021 ","644,289 ","638,972 ","631,843 ","624,654 ","617,555 ","610,462 ","603,406 ","596,443 "
4,"450,189 ","460,742 ","471,135 ","481,306 ","491,015 ","504,032 ","523,333 ","547,109 ","575,535 ","604,506 ","629,725 ","654,013 ","680,163 ","708,435 ","737,221 ","765,365 ","792,616 ","819,896 ","846,812 ","871,561 ","894,230 ","917,688 ","943,001 ","968,977 ","995,503 ","1,022,293 ","1,047,430 ","1,069,307 ","1,086,138 ","1,096,197 ","1,098,719 ","1,096,475 ","1,094,924 ","1,096,706 ","1,101,806 ","1,109,516 ","1,119,726 ","1,131,333 ","1,142,981 ","1,153,394 ","1,161,448 ","1,168,870 ","1,177,154 ","1,186,994 ","1,200,203 ","1,214,679 ","1,223,458 ","1,223,897 ","1,217,934 ","1,207,029 ","1,194,267 ","1,185,027 ","1,183,622 ","1,189,381 ","1,193,822 ","1,189,650 ","1,178,604 ","1,167,052 ","1,160,585 ","1,159,970 ","1,163,839 ","1,171,013 ","1,177,846 ","1,180,113 ","1,175,268 ","1,163,268 ","1,147,258 ","1,133,113 ","1,122,917 ","1,111,705 ","1,096,129 ","1,059,180 ","1,019,177 ","963,459 ","824,810 ","838,877 ","837,765 ","833,748 ","847,540 ","850,673 ","851,100 ","848,306 ","843,922 ","839,414 ","834,570 ","829,499 ","823,786 ","817,838 ","812,085 ","806,094 ","799,543 ","792,503 ","785,475 ","778,260 ","772,353 ","770,328 ","764,301 ","758,088 ","751,635 ","745,780 ","739,555 ","733,013 ","727,064 ","720,927 ","714,435 ","707,690 ","700,764 ","694,011 ","687,126 ","680,075 ","673,046 ","666,070 ","659,313 ","650,358 ","643,656 ","638,382 ","631,273 ","624,111 ","617,052 ","609,992 ","602,973 "
5,"433,733 ","444,383 ","455,008 ","465,595 ","476,030 ","486,194 ","499,383 ","518,781 ","542,448 ","570,842 ","599,771 ","625,003 ","649,283 ","675,384 ","703,589 ","732,317 ","760,333 ","787,450 ","814,517 ","841,200 ","865,628 ","888,242 ","911,890 ","937,310 ","963,499 ","990,097 ","1,016,781 ","1,041,716 ","1,063,564 ","1,080,462 ","1,090,587 ","1,093,193 ","1,091,019 ","1,089,508 ","1,091,272 ","1,096,261 ","1,103,800 ","1,113,806 ","1,125,211 ","1,136,732 ","1,147,103 ","1,155,186 ","1,162,658 ","1,171,067 ","1,181,119 ","1,194,427 ","1,208,775 ","1,217,234 ","1,217,106 ","1,210,374 ","1,199,685 ","1,188,271 ","1,180,057 ","1,178,889 ","1,184,433 ","1,189,016 ","1,185,789 ","1,175,932 ","1,165,561 ","1,159,843 ","1,159,297 ","1,163,108 ","1,169,666 ","1,175,950 ","1,177,842 ","1,172,371 ","1,160,228 ","1,144,597 ","1,130,991 ","1,120,908 ","1,111,408 ","1,082,196 ","1,044,374 ","1,007,513 ","951,726 ","816,959 ","831,017 ","831,040 ","827,120 ","841,270 ","844,714 ","845,471 ","842,999 ","838,838 ","834,585 ","829,983 ","825,252 ","819,685 ","814,079 ","808,354 ","802,693 ","795,921 ","789,690 ","782,859 ","776,090 ","770,465 ","768,653 ","762,663 ","756,517 ","750,237 ","744,456 ","738,335 ","731,917 ","726,058 ","719,979 ","713,524 ","706,818 ","699,971 ","693,255 ","686,401 ","679,386 ","672,397 ","665,515 ","658,821 ","649,882 ","643,216 ","637,947 ","630,854 ","623,722 ","616,687 ","609,656 "
6,"417,557 ","429,534 ","440,191 ","450,930 ","461,697 ","472,423 ","482,708 ","495,983 ","515,278 ","538,924 ","567,271 ","596,181 ","621,388 ","645,613 ","671,641 ","699,769 ","728,349 ","756,213 ","783,105 ","809,918 ","836,316 ","860,633 ","883,304 ","907,003 ","932,581 ","958,803 ","985,266 ","1,011,723 ","1,036,602 ","1,058,468 ","1,075,377 ","1,085,526 ","1,088,159 ","1,086,018 ","1,084,491 ","1,086,143 ","1,090,969 ","1,098,318 ","1,108,127 ","1,119,401 ","1,130,863 ","1,141,239 ","1,149,358 ","1,156,947 ","1,165,560 ","1,175,714 ","1,188,901 ","1,202,916 ","1,210,793 ","1,209,898 ","1,203,363 ","1,193,961 ","1,183,547 ","1,175,595 ","1,174,271 ","1,179,966 ","1,185,435 ","1,183,333 ","1,174,602 ","1,164,936 ","1,159,274 ","1,158,671 ","1,161,898 ","1,167,941 ","1,173,873 ","1,175,175 ","1,169,564 ","1,157,778 ","1,142,655 ","1,129,168 ","1,120,633 ","1,101,484 ","1,071,372 ","1,035,852 ","998,724 ","945,322 ","811,420 ","826,281 ","826,239 ","822,661 ","836,973 ","840,656 ","841,659 ","839,315 ","835,318 ","831,221 ","826,869 ","822,208 ","816,913 ","811,261 ","805,786 ","799,986 ","793,778 ","787,644 ","781,188 ","774,642 ","769,189 ","767,360 ","761,407 ","755,419 ","749,186 ","743,482 ","737,466 ","731,125 ","725,310 ","719,251 ","712,819 ","706,181 ","699,359 ","692,661 ","685,832 ","678,846 ","671,946 ","665,120 ","658,434 ","649,527 ","642,860 ","637,599 ","630,531 ","623,417 ","616,406 "
7,"401,725 ","414,381 ","426,320 ","437,044 ","447,909 ","458,868 ","469,667 ","480,014 ","493,211 ","512,494 ","536,112 ","564,439 ","593,299 ","618,436 ","642,588 ","668,539 ","696,517 ","724,938 ","752,572 ","779,209 ","805,766 ","832,017 ","856,307 ","878,985 ","902,804 ","928,392 ","954,469 ","980,709 ","1,007,084 ","1,031,967 ","1,053,808 ","1,070,689 ","1,080,821 ","1,083,456 ","1,081,294 ","1,079,667 ","1,081,170 ","1,085,820 ","1,092,987 ","1,102,671 ","1,113,884 ","1,125,334 ","1,135,725 ","1,143,950 ","1,151,735 ","1,160,451 ","1,170,504 ","1,183,371 ","1,196,807 ","1,203,922 ","1,203,189 ","1,197,875 ","1,189,429 ","1,179,279 ","1,171,225 ","1,170,089 ","1,176,645 ","1,183,168 ","1,182,129 ","1,174,060 ","1,164,444 ","1,158,718 ","1,157,560 ","1,160,309 ","1,166,027 ","1,171,404 ","1,172,565 ","1,167,277 ","1,155,966 ","1,140,967 ","1,128,901 ","1,113,282 ","1,093,266 ","1,064,847 ","1,029,093 ","993,738 ","940,474 ","807,973 ","822,647 ","822,840 ","819,451 ","833,911 ","837,788 ","838,860 ","836,618 ","832,729 ","828,821 ","824,498 ","820,058 ","814,681 ","809,223 ","803,659 ","798,266 ","792,098 ","786,279 ","780,008 ","773,601 ","768,118 ","766,300 ","760,493 ","754,537 ","748,365 ","742,750 ","736,803 ","730,500 ","724,695 ","718,650 ","712,279 ","705,659 ","698,847 ","692,167 ","685,362 ","678,457 ","671,609 ","664,788 ","658,129 ","649,218 ","642,557 ","637,316 ","630,262 ","623,169 "
8,"388,289 ","399,224 ","411,821 ","423,790 ","434,604 ","445,599 ","456,605 ","467,435 ","477,713 ","490,914 ","510,183 ","533,796 ","562,074 ","590,846 ","615,904 ","639,981 ","665,791 ","693,612 ","721,808 ","749,190 ","775,591 ","801,986 ","828,153 ","852,408 ","875,175 ","898,991 ","924,437 ","950,296 ","976,456 ","1,002,822 ","1,027,651 ","1,049,433 ","1,066,266 ","1,076,369 ","1,078,964 ","1,076,699 ","1,074,934 ","1,076,287 ","1,080,763 ","1,087,816 ","1,097,443 ","1,108,641 ","1,120,100 ","1,130,577 ","1,138,984 ","1,146,869 ","1,155,492 ","1,165,255 ","1,177,580 ","1,190,265 ","1,197,500 ","1,197,919 ","1,193,510 ","1,185,323 ","1,175,096 ","1,167,262 ","1,166,972 ","1,174,533 ","1,182,059 ","1,181,639 ","1,173,607 ","1,163,926 ","1,157,677 ","1,156,068 ","1,158,519 ","1,163,721 ","1,168,963 ","1,170,418 ","1,165,577 ","1,154,385 ","1,140,695 ","1,123,227 ","1,106,848 ","1,088,085 ","1,059,449 ","1,025,108 ","989,731 ","937,361 ","805,157 ","819,956 ","820,286 ","817,072 ","831,667 ","835,579 ","836,709 ","834,542 ","830,799 ","826,899 ","822,757 ","818,218 ","812,995 ","807,481 ","802,219 ","796,825 ","790,921 ","785,264 ","779,104 ","772,665 ","767,182 ","765,500 ","759,716 ","753,809 ","747,713 ","742,161 ","736,251 ","729,954 ","724,157 ","718,168 ","711,812 ","705,197 ","698,400 ","691,738 ","685,009 ","678,153 ","671,308 ","664,511 ","657,847 ","648,941 ","642,297 ","637,067 ","630,030 "
