"","edad","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070"
"1",0,0.867948658938329,0.867101720498922,0.875123494004425,0.872483518293436,0.887030285101505,0.892517810074773,0.897739001719792,0.902236429007675,0.905851627918448,0.909009112873312,0.911655100933185,0.914068965274894,0.916331530216834,0.918629711044356,0.920966042142,0.923205167518396,0.925043570694507,0.926664637154764,0.928386450878874,0.930424442911533,0.929371433894595,0.934411022914702,0.936114004809993,0.937791721169781,0.939676455711864,0.941765209583537,0.944002409469144,0.946220059945571,0.948503177868525,0.950853655696085,0.953176729216168,0.95530897097049,0.95714441893517,0.958837673436709,0.960478894279229,0.962156303189913,0.963842130602517,0.965518687582936,0.967268073063201,0.96632584733733,0.968293940160024,0.971936526235318,0.973159917903593,0.974210066748985,0.975144221716281,0.976011085593127,0.97685580054198,0.977675413597033,0.97852126213531,0.979435586033783,0.980470962853569,0.981513650520527,0.982445031457804,0.983186083189319,0.983792550214106,0.984309910089465,0.984725620000096,0.98502876739753,0.985294200486438,0.985577000035043,0.985901489227351,0.986193760055743,0.986386384257684,0.986492269102533,0.986617815665836,0.986701901569574,0.986779398174404,0.986751331185011,0.986907074197222,0.987152124315288,0.987475242399884,0.987738001730043,0.988195121050844,0.988540390840844,0.988978166182819,0.989341983211719,0.989747401330508,0.990104093447643,0.990476889438854,0.990816705220031,0.991159766875491,0.991479397655397,0.991795837370187,0.992094628039874,0.992387120265176,0.992665535090723,0.992936292130532,0.993195266298569,0.993446142903557,0.993686793983228,0.993919386254825,0.994142880078425,0.994358595480154,0.994566082311605,0.994766185128658,0.99495876954377,0.995144409862368,0.995323137436665,0.995495369965075,0.995661222532419,0.995821019367603,0.995974914671977,0.996123174482352,0.996265968045888,0.996403523105774,0.99653601116075,0.996663633057525,0.996786555928751,0.996904960410416,0.997019006022459,0.997128857253512,0.997234664592641,0.997336578974212,0.997434741419256,0.997529291066774,0.997620359548765,0.997708075485433,0.997792561460579,0.997873936565102,0.997952314798771,0.998027806534545
"2",1,0.941731956477009,0.939331486372109,0.947537531739411,0.945525896020666,0.954718205809256,0.957343438124772,0.961278493014363,0.963910804307844,0.966341359272138,0.968251907890745,0.969061489288452,0.97028511605843,0.971865740319367,0.973231399678336,0.974562634012379,0.976406796831829,0.977830067117102,0.978827097072636,0.980387102558643,0.981916098770723,0.980106024819562,0.985115327916454,0.987252917367051,0.988510142826099,0.989350033612851,0.990381158641094,0.991661797854198,0.992101800632839,0.992185798064763,0.992914557031588,0.993435864200836,0.993716607223212,0.994002945524113,0.994519494600566,0.994927332233055,0.995352145239957,0.995553886856374,0.995807353443922,0.996144257247424,0.996385758137405,0.996725303901076,0.996844358627477,0.99701611871162,0.997299363374014,0.997412680022608,0.997636216264148,0.997827299242324,0.997988287324092,0.9981313992846,0.998256624227952,0.998378424146428,0.998519665652743,0.998659264618645,0.998737226754348,0.998808307201254,0.99887462959495,0.998859965127826,0.998899396077744,0.99888528924111,0.999161025019214,0.999135134001814,0.999170846035049,0.999148404452173,0.999127911401529,0.999108539000513,0.999112495333738,0.999125523471366,0.99911747299966,0.999128938204387,0.999123241479455,0.999176190990657,0.999205995354927,0.99925720623703,0.999294953644413,0.99934163193797,0.999379373834595,0.999420293695313,0.999455291430214,0.99949085537828,0.999522362294635,0.99955328145372,0.999581278542622,0.999608219571987,0.999632942793111,0.99965646623509,0.999678228505208,0.99969879873538,0.999717921536703,0.999735927059743,0.999752714262496,0.999768484597179,0.999783213291374,0.999797031132946,0.999809949567666,0.999822059404013,0.999833387918899,0.999844002311831,0.999853935463234,0.999863239829342,0.999871948900206,0.999880105305047,0.999887740830551,0.999894891102507,0.999901585250288,0.999907853598237,0.999913722340573,0.999919217589968,0.999924362652392,0.999929180174948,0.999933690767596,0.999937914157115,0.999941868504599,0.999945571037913,0.999949037726854,0.999952283640377,0.999955322804078,0.999958168410778,0.999960832769577,0.999963327437108,0.99996566321137,0.999967850219035
"3",2,0.967324101727927,0.965141347281845,0.970715056755062,0.969426717321081,0.975372510578266,0.976522681507499,0.979256972815537,0.980400148686278,0.981802777124029,0.982887917525274,0.983518466798848,0.984245850018585,0.985077719367986,0.985825778283509,0.986579547028238,0.987618026914737,0.988327704966127,0.989038275367567,0.989616269746461,0.990526796925027,0.989558090886351,0.992225214827545,0.993156518128559,0.994041009441965,0.994699679814446,0.995261661080398,0.995700956567386,0.99595843355413,0.996197133946519,0.996491289626498,0.996772022343268,0.997005631077113,0.99719204144845,0.99737255425392,0.997540133648208,0.997701187570268,0.997853536979419,0.997983695226288,0.998108287834243,0.998211840746798,0.998285246592003,0.998476837416768,0.99858412942433,0.998661579042664,0.998741897364037,0.998809687772589,0.998876441236619,0.998940173020558,0.999013276383334,0.999089988278326,0.999156165883795,0.999220670404291,0.999270965224011,0.999302176520049,0.999323708200082,0.999339954850103,0.999355788942338,0.999366929062945,0.999378740499907,0.999491225395498,0.999470910130932,0.999492480841152,0.999487890993689,0.999487557760574,0.999480908571654,0.999484288771002,0.999492726320336,0.999490827461124,0.999486416470926,0.999490154264341,0.99951576769368,0.999532500770679,0.999561516100904,0.999582973175822,0.999609587635899,0.999631161918914,0.999654610440623,0.999674714417305,0.999695192889018,0.999713379346192,0.999731269634181,0.99974750855102,0.999763172774576,0.99977758246432,0.999791326142852,0.999804071778788,0.999816148535224,0.999827402826182,0.999838025334811,0.999847953190042,0.999857302366898,0.999866055282491,0.999874286888228,0.999882001437385,0.99988925072248,0.999896048805222,0.999902433868411,0.999908423690063,0.999914048015849,0.999919325324723,0.999924279787083,0.999928929154773,0.999933293657677,0.999937389704309,0.999941234560721,0.999944843084661,0.999948230196472,0.999951409195707,0.999954393074889,0.999957193660469,0.999959822319097,0.999962289526981,0.999964605256302,0.999966778766309,0.999968818820489,0.999970733591636,0.999972530788757,0.999974217620012,0.999975800870843,0.999977286895676,0.999978681669144
"4",3,0.979605379911912,0.977832639266544,0.981624495438151,0.980768080245555,0.984841211592248,0.985295228840251,0.987258156640877,0.987708874925581,0.988579404120375,0.989250728557284,0.989775879563719,0.99025022153523,0.990717369454977,0.991163180513694,0.991637545831409,0.992271100885467,0.992656891104007,0.993195104401992,0.993378049624498,0.993984427080735,0.993409007689491,0.995024235728312,0.995486008512457,0.996162078457484,0.996692673167298,0.997055661781771,0.997218761135541,0.997398581214683,0.997647887232357,0.997794971273427,0.997978332370524,0.998165779971807,0.998304871193922,0.998382596853239,0.99846895495831,0.998544640664307,0.998664662457346,0.998744651926825,0.998803927370926,0.998848275230521,0.998846696951453,0.999046151141529,0.999123525482741,0.999142000608462,0.999203787335147,0.999226626550893,0.999254470657375,0.999286434237661,0.999334138659884,0.999389976716013,0.999434067817395,0.999472634097116,0.99949631452821,0.99951192254228,0.999519253632618,0.999519820058885,0.999543192870998,0.999544923783553,0.999563138991963,0.999620849403146,0.999603353117306,0.999619365357512,0.999619572220357,0.999625905803081,0.999623159346715,0.999626059928627,0.999632097360002,0.999632084957946,0.999624508681723,0.999630892586904,0.999646393762583,0.999657947600732,0.999678120449197,0.999693090951548,0.999711722911832,0.999726874835244,0.999743394794626,0.999757603441086,0.999772122256364,0.999785057068231,0.999797821432895,0.999809444434939,0.99982069162927,0.999831070964591,0.999841001992461,0.99985024114685,0.99985902325005,0.999867233299425,0.999875007091949,0.999882295633644,0.999889181161706,0.999895648059206,0.999901749139931,0.999907485179809,0.999912892423978,0.999917979247949,0.999922772219106,0.999927282805829,0.999931531633285,0.999935530995491,0.99993929763745,0.999942843577298,0.999946182850276,0.999949326699816,0.999952287142937,0.999955074457384,0.999957699072958,0.999960170264558,0.999962497161097,0.999964688071195,0.999966751026335,0.999968693437858,0.999970522393692,0.999972244488301,0.999973865988543,0.999975392753414,0.999976830329959,0.999978183919207,0.999979458434305,0.999980658489828,0.99998178843917
"5",4,0.986391370840775,0.984975336416556,0.987621200551844,0.987030553367976,0.989944879052798,0.990057580489616,0.991515048973706,0.991630615795398,0.992202297515202,0.992644793494601,0.993084163220234,0.993415851330111,0.993689154003885,0.993969709922253,0.99429124636957,0.994702018635201,0.994920812850744,0.995345434205565,0.995349871420561,0.995783813294901,0.995416016258442,0.996473815683826,0.996711120611595,0.997253517445866,0.997691817565207,0.997949116263288,0.997995844137062,0.998129309337944,0.998360698235088,0.998442849930246,0.998571878687993,0.998723818901868,0.998835111153319,0.998873223645486,0.998923724434386,0.998960510966609,0.99905938986733,0.999111198177412,0.999142129396531,0.99915366729325,0.99912337170722,0.999320949244259,0.999381256085154,0.99937832381862,0.999427778517637,0.999432421157096,0.999444571061983,0.999462302737065,0.999496136195913,0.99953971340743,0.999573822685168,0.99959916661511,0.9996107400826,0.999620348454093,0.999621059407157,0.999616109368101,0.999640733183348,0.99963924124798,0.99965803348099,0.999690116709463,0.999674420718136,0.99968747510255,0.999689941409467,0.999698797957973,0.999697429607175,0.999700495786439,0.999704390880233,0.999706084463634,0.999697749900521,0.999704012313835,0.999714931422941,0.999723717310067,0.999739145166599,0.999750633224252,0.999764978521142,0.999776682194328,0.999789483219128,0.99980052888175,0.99981185185495,0.999821972223302,0.999831991443456,0.999841144398107,0.999850030066124,0.999858256732336,0.999866153577199,0.999873524127246,0.999880552785304,0.999887144944995,0.999893407069927,0.999899297369213,0.999904880029187,0.999910140295954,0.999915119111133,0.999919815231713,0.999924256537331,0.999928448228096,0.999932410598353,0.999936151627957,0.999939686998981,0.999943025600114,0.999946180139811,0.999949159485835,0.99995197429796,0.999954632984864,0.999957144698442,0.999959517204544,0.999961758479074,0.999963875590803,0.999965875556018,0.999967764756086,0.999969549398509,0.999971235216638,0.99997282772142,0.999974332049621,0.999975753103933,0.999977095479057,0.999978363541963,0.999979561398499,0.999980692941312,0.999981761837302,0.999982771557834
"6",5,0.990477050300919,0.989346470703938,0.991235209415889,0.990814743603749,0.992969062591604,0.992912973324113,0.994028644134751,0.993974696081784,0.994365212094206,0.994671789189581,0.995040688509224,0.995285847643374,0.995448140641106,0.995630744880679,0.995860865083565,0.99613739459501,0.996265062026648,0.996607979640071,0.996526616280386,0.996851873719476,0.996606176994374,0.997337353813808,0.997452835642789,0.997901022623525,0.99826864473121,0.998464465182316,0.998455458595474,0.998553013205105,0.998764466281188,0.998811328465937,0.998907709935054,0.99903184064509,0.99912461725461,0.999148754654367,0.999179991799918,0.999198440977043,0.999280686716789,0.999313554627617,0.999331048813386,0.999322874299288,0.999280912158002,0.999472106903248,0.999523703708294,0.999513562844294,0.999553217315272,0.999551036759729,0.999555152735875,0.999565619090362,0.99959181681825,0.999628052042003,0.999654945572182,0.999673306253666,0.999678836881952,0.999683798343927,0.999682808849633,0.999674914730134,0.999700028003166,0.999695947608898,0.999714943911926,0.999731131491246,0.999717338458929,0.999728898812586,0.999732017633945,0.999742228474428,0.999741324926687,0.999745275659497,0.999746998286651,0.999748019505828,0.999740327545146,0.999747192610986,0.999755007242868,0.999762108832094,0.999774644169758,0.999784009451587,0.999795742351302,0.999805345678165,0.999815882963564,0.999825004854311,0.999834385878179,0.999842797888442,0.999851152818941,0.999858810291938,0.999866268321649,0.999873195770089,0.99987986714031,0.99988611421237,0.99989209092164,0.999897714754116,0.999903074449033,0.999908132351772,0.999912941723124,0.999917488143324,0.999921805342017,0.999925890697834,0.999929766982543,0.99993343734404,0.999936918224499,0.999940215382756,0.999943341448863,0.999946303157271,0.999949110712552,0.999951770995799,0.999954292565279,0.999956682045017,0.99995894679825,0.999961093010934,0.999963127124122,0.999965054819899,0.999966881791592,0.999968613209876,0.999970254139412,0.999971809260181,0.999973283095065,0.999974679866598,0.999976003623234,0.99997725816773,0.999978447128912,0.999979573927753,0.999980641819639,0.999981653880098,0.999982613030943
"7",6,0.993077136125661,0.992170178862328,0.993547662677269,0.993243762343127,0.99487352221713,0.994741432161021,0.995610845187152,0.995475220194633,0.995752815443587,0.995972111704748,0.996284597657242,0.996473105066286,0.996570067330138,0.996690370342164,0.996864349947701,0.997055247080885,0.997127259854899,0.997412232454455,0.997289552606041,0.997540367578401,0.997371891980597,0.997896134742574,0.997938909175216,0.998316839451206,0.998626752852287,0.998784342458948,0.998750050610492,0.998817159078961,0.999007246312453,0.999036554401579,0.999110763236194,0.999212366227093,0.999294097631655,0.999314369884262,0.999336024446373,0.999342546473864,0.999412754668413,0.999432306778061,0.999443532404532,0.999423117600682,0.999377628182738,0.999560795212668,0.99960549886279,0.999597025819258,0.999626151869837,0.999624793439145,0.999625285914654,0.999631085586428,0.999652951722344,0.999682606855692,0.999705789387231,0.999718992679543,0.999721713217183,0.999724291015224,0.999722427424873,0.99971365465704,0.99973723862072,0.9997323656924,0.999749296201315,0.999755267344111,0.999745129346856,0.999754260008822,0.999758635308118,0.999769587796098,0.999767332208185,0.999771569988883,0.99977297215805,0.999771481725931,0.999765702262063,0.999773903708714,0.999779237412993,0.999785238251672,0.999795880796875,0.999803857801193,0.999813883611963,0.999822116083037,0.999831177894492,0.999839047911282,0.999847167495786,0.999854472044367,0.999861750485535,0.999868443052231,0.999874982449593,0.99988107639822,0.999886964143774,0.999892495379162,0.999897804435313,0.999902816295419,0.999907608294857,0.999912145185917,0.999916473179709,0.999920577856448,0.99992448826426,0.999928200716767,0.999931734642602,0.9999350917217,0.999938285852249,0.999941321240885,0.999944208485233,0.999946952829784,0.999949562800058,0.99995204391043,0.999954403302293,0.999956646375547,0.999958779282678,0.999960807127835,0.999962735310246,0.999964568563566,0.999966311681547,0.999967969007589,0.999969544828567,0.999971043105401,0.99997246768845,0.999973822176943,0.999975110038263,0.999976334536113,0.999977498797901,0.999978605779426,0.999979658304091,0.999980659046881,0.999981610558168
"8",7,0.994790807247175,0.994059337717053,0.995081478715727,0.994862620017109,0.996114867751693,0.995961186468195,0.996647869810394,0.996481143054087,0.996682384955175,0.996846626867457,0.997110493141233,0.997261805631692,0.997316446215456,0.997399469624314,0.997537220823883,0.997670147130439,0.997708755763083,0.997947226315116,0.997809386669137,0.998008117513173,0.997890079366846,0.998276138056715,0.998274229996227,0.998593816169716,0.998855667197627,0.998989010867858,0.998945316142558,0.998985492966484,0.999157364683428,0.999176739880018,0.999235627517797,0.999319393143053,0.999392970369957,0.99941612008495,0.999431965592804,0.999431086978849,0.999492226191011,0.999504545279004,0.999511306422108,0.999483748284577,0.999437913601525,0.999611659689911,0.999652785626772,0.999647721513072,0.99966847752997,0.999669775394006,0.99966891994819,0.999674975982642,0.999691371328569,0.999716298805069,0.999736698898895,0.999747522945899,0.999747424664633,0.999748828486175,0.999749084267628,0.999738671474408,0.999760730035367,0.999753959604325,0.999768938097478,0.999765829063051,0.999759569401082,0.999768793880627,0.9997734611508,0.999785756527344,0.999778940648217,0.99978536327707,0.999786037818258,0.999779583768833,0.999777370421506,0.999786270275334,0.999790060395652,0.999795354313052,0.999804796349433,0.999811898985064,0.999820857517237,0.999828239368697,0.999836392937227,0.999843499052324,0.999850856058411,0.99985749791671,0.999864139241507,0.999870267535621,0.999876276635511,0.999881896180711,0.999887344699673,0.999892481373436,0.999897429095934,0.999902116334618,0.999906613756675,0.999910886778717,0.999914977430328,0.999918870700816,0.99992259279141,0.999926138928028,0.999929526444151,0.999932755794291,0.999935839235542,0.999938779774361,0.999941586666038,0.999944264048014,0.999946819317981,0.999949256999119,0.999951583270838,0.99995380265971,0.999955920491481,0.999957941107953,0.99995986919569,0.999961708826798,0.999963464180471,0.999965139028461,0.999966737128309,0.999968261948705,0.999969716885059,0.999971105114151,0.999972429713445,0.999973693585314,0.999974899524105,0.999976050177694,0.999977148086095,0.999978195662965,0.999979195218615
"9",8,0.995935007416575,0.99534627567886,0.996115099174056,0.995962204694057,0.996935715829942,0.996791948707843,0.997340416608416,0.99716810446548,0.997319943746624,0.997449885036654,0.99767203780835,0.997797496040281,0.997827957087132,0.997886566346473,0.998001602378775,0.998096602242741,0.998112796242847,0.998313826474995,0.998175548081555,0.998334349558028,0.998251368142518,0.99854185210342,0.998510746989025,0.99878056179458,0.998999657777661,0.999119801004429,0.999074684883716,0.99909065913223,0.999247388758249,0.999262297921596,0.999310015708576,0.999380932125437,0.999449264049154,0.999476330518926,0.999489877281888,0.999485003696497,0.999539200060807,0.999546256664949,0.999549797077653,0.999520493722229,0.999474920946691,0.999638647692128,0.999677682242306,0.999677591179258,0.99969042050012,0.999694892682988,0.999694224906941,0.999701953091662,0.999714613620984,0.999735760181139,0.999753643661923,0.999761384726641,0.9997613001875,0.999760585286268,0.999763982811983,0.999753090556684,0.999772935495199,0.999764457099786,0.999776673842534,0.999765480352056,0.999761405928627,0.999770845286766,0.999777393811548,0.999790013223851,0.999778341480023,0.999787342445119,0.999787527698863,0.999774972912586,0.999777451967458,0.999787853917646,0.999790109717227,0.999794957825071,0.999803663174488,0.999810237526733,0.999818561905699,0.999825447106431,0.999833080384655,0.999839758170079,0.999846697596416,0.999852986184969,0.999859297937026,0.999865144188194,0.999870898373088,0.9998762999221,0.999881556880121,0.999886531735743,0.999891341722695,0.999895915739579,0.999900321136261,0.999904522578467,0.999908559931909,0.999912417029089,0.999916118498379,0.999919658343839,0.999923052654051,0.999926300735166,0.999929413804534,0.999932393840979,0.999935249206711,0.999937983140211,0.999940602263009,0.999943110320455,0.999945512815496,0.999947813605447,0.999950017427449,0.999952128049405,0.999954149647644,0.999956085803484,0.999957940255917,0.99995971635819,0.999961417490084,0.99996304676465,0.999964607254997,0.999966101836974,0.999967533314802,0.999968904337556,0.999970217469565,0.999971475146879,0.999972679717445,0.999973833419183,0.999974938403546
"10",9,0.996692778690416,0.996219181773867,0.996804039817087,0.996712014607729,0.99747067288823,0.997357998311858,0.99779869072756,0.997640984855123,0.997756508758836,0.997866468425129,0.998053362132143,0.998163190375359,0.998176961641196,0.998223151675575,0.998325453798539,0.998392989290493,0.998393150542814,0.998564645105409,0.99843491302185,0.998563141512012,0.99850605035861,0.99872692721515,0.998675651362655,0.998900699639467,0.999084508104033,0.999197886554383,0.999156547329924,0.999152289568107,0.999296831583603,0.999308862732576,0.999349777687356,0.999411482475644,0.999475606165583,0.999508047081432,0.999521289985491,0.999512875794248,0.999563133201068,0.999568949486029,0.999570193541562,0.999540341666698,0.999497662999858,0.999648707830302,0.999687208062792,0.999691022549836,0.999698132479714,0.999704561355175,0.999704457377438,0.999716203737069,0.999723719727433,0.999741400693468,0.999757124669474,0.999762985414953,0.999763140309975,0.99976060369503,0.999768729728397,0.999757472227934,0.999774209623433,0.999763485606692,0.999772498959466,0.999754177468288,0.999751567956768,0.99976127870972,0.999767991021956,0.999784207910372,0.999765759339015,0.999777018020231,0.999777116428251,0.999758739912756,0.999766651065708,0.999777169897258,0.999778841919328,0.999783439916606,0.999791767508613,0.999798084580554,0.999806117886023,0.999812789686848,0.999820216283945,0.999826739832015,0.99983354643868,0.999839739925951,0.99984598153504,0.999851786509806,0.99985752339665,0.999862930778777,0.999868214931451,0.999873236012718,0.999878110557058,0.999882764954376,0.999887266117147,0.999891576475591,0.999895735448815,0.999899725009291,0.999903569273089,0.999907260734567,0.999910814921325,0.999914229919852,0.999917516371115,0.99992067526382,0.999923714397667,0.999926636200528,0.99992944676553,0.999932149168556,0.999934748429995,0.999937247850304,0.999939651735214,0.999941963387252,0.999944186603463,0.999946324575454,0.999948380713369,0.999950358044309,0.99995225966644,0.999954088420741,0.999955847141998,0.99995753848041,0.999959165040979,0.999960729287221,0.999962233619196,0.999963680322148,0.999965071610751,0.999966409602287,0.99996769634225
