"","edad","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070"
"1",0,0.847348418592078,0.846161299800579,0.855180288131298,0.851951658887942,0.868554479777365,0.87482012110985,0.880710769942961,0.885777750434701,0.889826933575864,0.893350096896704,0.896278502147209,0.898939592867894,0.901430556538445,0.903971410701595,0.906564942430505,0.909050090281197,0.911068870945047,0.912836153852834,0.914728718670691,0.91700626728653,0.915605715338736,0.921461504940721,0.92337846575167,0.925255125376811,0.927386922313316,0.929772948846049,0.932349682599854,0.934914918971151,0.937569196208376,0.940317729654061,0.943047225442266,0.945556098099886,0.947714421621042,0.949708949023415,0.951649462721492,0.953644778857606,0.95565816106717,0.957671105550311,0.959780032969297,0.958592215144855,0.960973485658187,0.965431424072214,0.966922502631768,0.96819704575192,0.969333283567136,0.970387956754752,0.971416678673775,0.972417701561242,0.973451141059848,0.974569030181939,0.975848671070701,0.977141264256234,0.978293259128995,0.97920667395338,0.979950984957366,0.980583408107091,0.98109317017327,0.981471069278784,0.981820490925285,0.982197210704674,0.982613433888594,0.982989402294821,0.983240285413299,0.983387163639674,0.983560856820155,0.983687745131466,0.983806215059585,0.983796156062321,0.984010918387168,0.984332570156808,0.984714365194445,0.985031950712195,0.98558318522173,0.985999577817889,0.986527624282382,0.986966654299312,0.987456112833957,0.987886963326877,0.988337494751442,0.988748381529041,0.989163406197286,0.989550284411935,0.989933496227656,0.990295519981761,0.990650092465885,0.990987770860174,0.99131632706073,0.991630743138892,0.991935480579447,0.99222794305784,0.992510752175297,0.992782633115654,0.993045181105201,0.993297838332838,0.993541623515721,0.993776363744166,0.994002750128162,0.994220812418486,0.994431052047392,0.994633601665966,0.994828849697093,0.995016977326024,0.995198302811629,0.995373026478511,0.995541420581196,0.995703688911481,0.995860071542862,0.996010767589024,0.996155993034621,0.996295938284753,0.996430800136901,0.996560758493739,0.99668599407904,0.996806675702773,0.996922970115027,0.997035035078889,0.997143024886116,0.997247086623907,0.997347363294333,0.997443991835165,0.997537104913488
"2",1,0.941940747077959,0.940355205274591,0.948721988670138,0.946633500751867,0.955381220065203,0.958872773718473,0.961824957016826,0.964676828194615,0.967066865932054,0.968740799069961,0.969876560248207,0.970744475209614,0.972173672620987,0.973672717452803,0.975174480264163,0.976543923984523,0.977898541417416,0.978911323336062,0.980529600691281,0.981850211236922,0.979887245179445,0.984790510114732,0.986850690182744,0.987856841669194,0.989121509742101,0.990004110166782,0.991422648929607,0.992188649868865,0.992333744417246,0.993010879442796,0.993625155964594,0.993920789348478,0.994181419037816,0.994499272244987,0.994949636824175,0.995383318859861,0.995607376995322,0.99589211366668,0.996211233366595,0.996455746729757,0.996724306225386,0.996757085099574,0.996845186487582,0.997072108647143,0.997195630057266,0.997426567390357,0.997603023727956,0.9977363322766,0.997892469689278,0.998017001394399,0.998159087582277,0.998313230254793,0.998446893870529,0.998524885038872,0.998585203017444,0.998638774777819,0.998664067879054,0.99867097019176,0.998704232853525,0.99898269352818,0.99905063344502,0.999067558868272,0.999056831448275,0.999059537169656,0.999033542878015,0.999015403292047,0.999030407474158,0.999008901299536,0.999038643398516,0.999049638267403,0.999097810154619,0.999129563084346,0.999184081862071,0.999224326738943,0.999274171667804,0.999314549915774,0.999358411339574,0.999395999290549,0.999434270769933,0.999468244360507,0.999501650713838,0.999531960767448,0.999561185944244,0.999588059222396,0.99961367968243,0.999637429630186,0.999659923731906,0.99968087706719,0.999700645793691,0.999719113936318,0.99973649823629,0.999752766916188,0.999768060164066,0.999782386695751,0.999795843467709,0.999808457303019,0.999820299731377,0.999831404362711,0.999841826943721,0.999851602280682,0.999860775674771,0.99986938049065,0.999877454635575,0.999885028902457,0.999892135630558,0.99989880266863,0.999905057945881,0.999910926364121,0.99991643222711,0.999921597657017,0.999926443900254,0.999930990535281,0.999935256187236,0.999939258144856,0.999943012762447,0.999946535286792,0.999949840092391,0.999952940614806,0.999955849495799,0.999958578569424,0.999961138957428
"3",2,0.968834750632039,0.967184975668444,0.972556551058893,0.97117523949111,0.976593624587481,0.978058370102972,0.980251459069556,0.981378085475784,0.982706855737559,0.983629610506047,0.984358140326612,0.984956414404435,0.985669400256892,0.986438309171992,0.987183777991347,0.987986945846179,0.988586483411711,0.989259469892035,0.989828356934187,0.990597930949,0.989656372768412,0.992157877814155,0.993033206607611,0.993839139055726,0.994544795584759,0.995070362591074,0.995534953536687,0.995827129588113,0.996066892427938,0.996345507780184,0.996646943511538,0.996875493405294,0.99705417004219,0.997211358975488,0.997381369470611,0.997550685031877,0.997705443916319,0.997829766248631,0.997959303308528,0.998073185188688,0.998193636468081,0.998323680980268,0.998427772614762,0.998507641218722,0.998586766592261,0.998656209217888,0.998723530904906,0.998801742296127,0.998874658135095,0.99895023969527,0.999031230892617,0.999104763863773,0.999158668206619,0.999195748623989,0.999219430790091,0.999237475362625,0.999254758845022,0.999268492798608,0.999281457047337,0.999408494832427,0.999457137352295,0.999468042887565,0.999471394746985,0.999468171064231,0.999468120125156,0.999477208574481,0.999491519267788,0.999533527174728,0.999506045035412,0.999510436086691,0.999536243943597,0.99955267717036,0.999580808371716,0.999601561370834,0.999627251217188,0.999648055774492,0.999670649067612,0.999690006315873,0.999709711150625,0.999727199265579,0.999744391656527,0.999759987170518,0.999775021249093,0.999788842491149,0.999802016584106,0.999814226255491,0.99982578785588,0.999836555250443,0.999846711764935,0.999856198088838,0.999865125817169,0.999873478871296,0.999881329459208,0.999888682266295,0.999895587253281,0.9999020583689,0.999908132483496,0.999913826998255,0.999919170652827,0.99992418143459,0.99992888269808,0.999933291666965,0.999937427881163,0.999941307224519,0.999944946362778,0.999948359652282,0.999951561481611,0.999954564681103,0.999957381767145,0.99996002413238,0.999962502714511,0.999964827591598,0.999967008348121,0.999969053879589,0.999970972598521,0.999972772346418,0.999974460514397,0.999976044009519,0.999977529329297,0.999978922554934,0.999980229400356
"4",3,0.980869627631165,0.979393192382852,0.983001741981968,0.982019376134971,0.985705442718279,0.986274337095834,0.987971417977514,0.988377484942396,0.989203846770472,0.989781805985657,0.990300667262266,0.990754954100913,0.991148403141015,0.991591210465402,0.992011023548902,0.992541424757384,0.992832025070435,0.993325060673308,0.993502390661955,0.994018411351972,0.993498186010057,0.994994057543141,0.995425788167166,0.996079923351347,0.996549298166451,0.9969134398945,0.997071921677849,0.997210895419545,0.99744398643918,0.99758937154184,0.997773256245844,0.997958455939396,0.998095617746451,0.998192696111411,0.998273343668195,0.998355738211872,0.998477217540979,0.998545866693437,0.998610675062909,0.998676681232868,0.998747845601627,0.998886474891022,0.998981726342304,0.999017525489663,0.999075724674017,0.999097822093768,0.999130832459427,0.999185718248723,0.999229923082809,0.999283947916983,0.999340473449441,0.999385345234597,0.999413305413032,0.999436429027573,0.999448608237826,0.999456515078326,0.999471078278279,0.999484774395266,0.999491031255934,0.999564773804705,0.999602428767776,0.999610036639601,0.999615203601694,0.999612053506056,0.999616853804012,0.999630687681262,0.999640040361244,0.999681016907437,0.999654440595421,0.999654405981786,0.999673455053425,0.99968463104573,0.99970378873163,0.999717949781026,0.999735514886886,0.999749770717556,0.999765285851324,0.999778608486251,0.999792200493444,0.999804290649495,0.999816203016621,0.999827033345632,0.999837497288188,0.999847138824115,0.999856349642465,0.999864905472379,0.999873025460886,0.999880604754975,0.999887770192004,0.999894477938387,0.999900804968218,0.999906738113153,0.999912326961632,0.999917573273985,0.999922511199374,0.999927149316558,0.999931512730118,0.99993561270408,0.999939468763448,0.999943092794259,0.999946500656613,0.999949703868123,0.999952715714012,0.999955546904826,0.999958208798409,0.999960711139529,0.999963063765241,0.999965275434329,0.999967354735523,0.999969309486726,0.999971147223586,0.999972874896006,0.999974499135218,0.999976026104857,0.999977461650611,0.999978811231159,0.999980080005138,0.999981272802908,0.999982394179659,0.99998344840766,0.999984439510745
"5",4,0.987288897815673,0.986021099820037,0.988555365503386,0.987822518944067,0.990481653468136,0.990630020072886,0.991972472699175,0.992049773117237,0.992601337783379,0.9929940936088,0.993385716852019,0.993744522265324,0.993975532747597,0.994247538806593,0.994503907663484,0.994879644272767,0.995021356818702,0.995403904551619,0.995406247809308,0.995780873330597,0.995470064490215,0.996449549667145,0.99666939805669,0.99721125802562,0.997554984015093,0.997825886220076,0.997856095155805,0.997927908401967,0.998141008335108,0.998224524709457,0.9983503482093,0.998505415590156,0.998617298913964,0.998685106761039,0.99872472696368,0.998768689771523,0.998868220928987,0.998910728791346,0.998944546730041,0.998986982859733,0.999035291049936,0.999167063608462,0.999252713583799,0.999269008310399,0.999316182934808,0.999318570677306,0.999335710775171,0.999377592344223,0.999408189070869,0.999450040211668,0.999493541397131,0.999523331248083,0.99953881045194,0.999556170117976,0.999563681738908,0.999568033468162,0.999580947889089,0.999593074383004,0.999595975084843,0.999644019681488,0.999673547652163,0.999678962022744,0.999684219104405,0.999682284299634,0.999687779546838,0.999700887538872,0.9997071706585,0.999738806859144,0.9997195199428,0.999717590852102,0.999733192871566,0.99974183687063,0.999756709430911,0.999767737445627,0.999781459131866,0.999792631362434,0.999804829136634,0.999815337256632,0.999826092425612,0.999835690468056,0.999845178101212,0.999853832175843,0.999862220749555,0.999869975332629,0.999877407688372,0.999884334122206,0.999890929203386,0.999897105278317,0.999902963209823,0.999908464913048,0.999913671325656,0.99991856959315,0.999923198711464,0.999927558334074,0.999931675115718,0.999935554598505,0.999939216251216,0.999942668091469,0.99994592519858,0.999948996334566,0.999951893731572,0.999954626044509,0.99995720353107,0.999959634344841,0.999961927281797,0.999964089835214,0.999966129656298,0.999968053537772,0.999969868194559,0.999971579736436,0.999973194088735,0.999974716722136,0.999976152882412,0.999977507455045,0.999978785093324,0.999979990153333,0.999981126767646,0.99998219881674,0.999983209973307,0.999984163692261,0.999985063238944
"6",5,0.991071387584409,0.989998130387032,0.991840165297939,0.991277375813803,0.993271040560091,0.993219199422771,0.994301232004153,0.99422238623521,0.994609441933835,0.994892570113585,0.99519639396888,0.995491806549971,0.995629355852498,0.995803807306103,0.995968851505652,0.996247751956369,0.996311067584918,0.99661884408079,0.996538914537907,0.99682269712304,0.996626649698042,0.997307292963715,0.997409844234713,0.997865314450478,0.99813458855442,0.998343959007687,0.998317671232473,0.99835311529296,0.998547452545575,0.998598804405581,0.998690554351845,0.998822493662218,0.998918111284301,0.998968873558579,0.998988848019461,0.999011673016941,0.999098069542823,0.999125903151146,0.99914275066881,0.999171651851077,0.999206140689124,0.999329337337694,0.999405848735623,0.999413527537955,0.999453210568102,0.999446749654219,0.999455795365825,0.999488314810412,0.999511254896179,0.999544872401137,0.999579977948842,0.999602021863556,0.999609417197081,0.999624293058199,0.999630271168242,0.999631696006256,0.999644182124789,0.999654801532137,0.99965516117355,0.999688799407943,0.999713660548029,0.999717177187632,0.99972047208589,0.999720265331309,0.999724958489105,0.999737319033709,0.999740601881197,0.99976326346985,0.999751576187207,0.999747557980268,0.999761673369433,0.999768884878747,0.999781357272825,0.999790640232743,0.999802233456243,0.999811707855374,0.999822090029294,0.999831067642297,0.999840290543553,0.99984855221189,0.999856749463978,0.999864254759397,0.999871557162502,0.999878333157488,0.999884852054467,0.999890950146738,0.999896778403749,0.999902256977078,0.99990747293548,0.999912390195166,0.999917061087397,0.999921472115055,0.999925656494539,0.999929612142386,0.999933361546017,0.999936908161423,0.999940268268717,0.999943447796115,0.999946459274224,0.999949309521916,0.999952008674227,0.999954563643691,0.999956982931541,0.999959273159546,0.999961441637586,0.999963494527519,0.999965438216606,0.999967278348479,0.999969020560656,0.999970669975884,0.999972231600727,0.999973710061056,0.999975109819719,0.999976435041261,0.999977689712789,0.999978877576851,0.999980002200295,0.999981066942898,0.999982074998091,0.999983029380153,0.999983932949544
"7",6,0.993440447233554,0.992538429869475,0.993909889465286,0.99347488760096,0.995007048681816,0.994871605394421,0.995751810648588,0.99560228214599,0.995886431421157,0.996097985564213,0.996341788511738,0.9965890795287,0.996674287421898,0.996786525055207,0.996900473997058,0.997113218761081,0.99713323859722,0.997385113371183,0.997267196861931,0.99748808938801,0.997360945092134,0.997850408387586,0.997884057430142,0.998266118816026,0.998490279769695,0.998655476899217,0.998607437985096,0.998618165834916,0.998800644798038,0.998832955963916,0.998903312090427,0.999015708609235,0.999100719837487,0.999144027103968,0.999152035437545,0.999164363604906,0.999242245500546,0.999261870707234,0.999267500381134,0.999287372745133,0.99931403375555,0.999427102769354,0.999498106591896,0.999501397943634,0.999535953125261,0.999524657236626,0.999529087666217,0.999556177239871,0.999573098253873,0.999601698647841,0.99963193278079,0.999647454322934,0.999651109796085,0.99966405637049,0.999669636813357,0.999670383816439,0.999681180542904,0.999690751962795,0.999691006896164,0.999714188236657,0.999736076527457,0.999739390518993,0.99974097466672,0.999741458720717,0.999745320042844,0.999755810871691,0.999757203946975,0.999770275953851,0.999767235917773,0.999761799872045,0.999775017451553,0.999781330056152,0.999792308318013,0.999800510950762,0.999810794300159,0.99981923048679,0.99982851003256,0.999836565211945,0.99984487220231,0.999852342300551,0.999859782757047,0.999866621612995,0.999873301351731,0.999879523656784,0.999885533080963,0.999891176430925,0.999896590994426,0.999901700468024,0.99990658390085,0.999911205560142,0.999915612705854,0.999919790825483,0.999923769653294,0.999927545593749,0.999931138557448,0.99993455039318,0.999937795360744,0.999940877861154,0.999943808778227,0.999946593551024,0.999949240940511,0.999951756644295,0.999954148002527,0.999956420582408,0.999958580706931,0.99996063363044,0.999962584899836,0.999964439382306,0.999966202000186,0.999967877214894,0.999969469425582,0.99997098269709,0.999972420977935,0.999973787958614,0.999975087192347,0.999976322022845,0.999977495652554,0.999978611107297,0.999979671276035,0.999980678894952,0.99998163657164
"8",7,0.994974387751808,0.994220153904645,0.995261301211586,0.994931011777809,0.996127261140252,0.995967768244544,0.996690371148199,0.996514520060226,0.996728870751935,0.9968964942854,0.997096247565849,0.997308914816804,0.997362319206508,0.997435524764627,0.997519374061605,0.997682703721494,0.997681140299616,0.997887569940658,0.997756886292717,0.997930811675658,0.997846608346159,0.998207174065626,0.998195035355489,0.998514162351921,0.998709301772109,0.998840602176374,0.998790634801552,0.998782235723497,0.998955945256597,0.998977234756585,0.999035394020676,0.999129911170652,0.99920739847741,0.99925082713482,0.999253026260564,0.999258379684603,0.999329654910971,0.99934540965065,0.999345128939173,0.999359941397467,0.99937984050862,0.999484730247401,0.999551048433951,0.999552528128676,0.999583324290892,0.999571809930133,0.99957292479889,0.999594461355969,0.999608200718187,0.999632103648776,0.999659296955112,0.999670303758746,0.999672165322825,0.999684602764813,0.999690116112554,0.99969066967452,0.999700039470727,0.999709297412409,0.999709041944479,0.999724924130584,0.999745833734046,0.999748029104364,0.999748640738081,0.999750959430947,0.999753037933545,0.999761852632873,0.999762088403345,0.999764436710354,0.999771645656337,0.99976513910688,0.999777868034052,0.999783614255644,0.999793660861161,0.999801196322616,0.999810679350607,0.999818488847485,0.999827111667599,0.999834625760295,0.999842404514994,0.999849426798988,0.99985644826542,0.999862927138372,0.999869279817781,0.999875220505406,0.999880980236773,0.999886410163925,0.999891640211635,0.99989659477831,0.999901348574462,0.999905865056963,0.999910188661703,0.999914303533901,0.999918237376645,0.999921985154089,0.999925565194869,0.999928977988326,0.999932236496486,0.999935343904715,0.999938310001408,0.999941139166174,0.999943839223263,0.999946414958981,0.999948872909238,0.999951217863059,0.999953455453455,0.999955590273421,0.999957627279824,0.999959570779977,0.999961425193974,0.999963194511132,0.999964882705429,0.9999664934454,0.99996803032187,0.99996949669444,0.999970895817535,0.99997223076038,0.99997350447785,0.999974719769886,0.999975879322281,0.999976985687163,0.999978041307312
"9",8,0.995972472996678,0.995349296334291,0.996148957079896,0.995907304448982,0.996850371993811,0.996706502305448,0.997301092248404,0.997126728369018,0.997294924324776,0.997430553224473,0.997599824587507,0.997786250614021,0.997822944037221,0.997869736050153,0.997936873519966,0.998062758204594,0.99805233779485,0.998221049379204,0.998092725644536,0.998227656165296,0.998170812610057,0.998438848136554,0.998395305121269,0.998658819667519,0.998834056290757,0.998940484230948,0.99889831465928,0.998872566341898,0.99904189066908,0.999057106832985,0.999107099434885,0.999183701850196,0.999258433908039,0.999308097626032,0.999306982613417,0.999309237738274,0.999375040687455,0.999390682834625,0.999385807907723,0.999398976053699,0.999412442821349,0.999511232631625,0.999574235822477,0.999575528135852,0.999604989075754,0.999593758881076,0.999594194647263,0.99961046159443,0.999620479986687,0.999643000392699,0.999667696140683,0.999675322913898,0.999676636483279,0.999689584287566,0.999696241175998,0.999696772165398,0.9997018367882,0.999711416294764,0.999711561926005,0.999721611926179,0.99974441046997,0.999745720632881,0.999744348239155,0.999749181162986,0.999749711736966,0.999757703232857,0.999757079133183,0.999744568339716,0.99976580866568,0.999758342070697,0.999770963464254,0.99977639359296,0.999785934132248,0.999793117021182,0.999802190298211,0.999809690819351,0.999818003723195,0.999825275653654,0.999832832489937,0.999839680838246,0.999846554742749,0.999852922036102,0.999859189413644,0.999865073046702,0.999870799517989,0.999876219009103,0.999881459203048,0.999886442613976,0.999891242593746,0.999895820619633,0.9999002201069,0.999904423415964,0.999908457364269,0.999912315397064,0.999916015029409,0.999919555486421,0.999922948977185,0.999926197641665,0.999929310579386,0.999932291305256,0.999935147023436,0.999937881803197,0.999940501631107,0.999943010700197,0.999945414163759,0.999947716118897,0.999949921108908,0.999952033028872,0.999954055946546,0.999955993509595,0.999957849395272,0.999959626990467,0.999961329639087,0.999962960470379,0.999964522535984,0.999966018718769,0.999967451809617,0.999968824459902,0.999970139225294,0.999971398541816,0.999972604751533
"10",9,0.996610610701014,0.996098029892709,0.996721641190668,0.996559621850787,0.997305303437514,0.997197948547503,0.997685664628491,0.997528854739492,0.997667354443025,0.997780635678853,0.997928274154301,0.998095142613665,0.998125106848245,0.998155244884997,0.998212820340922,0.998309900433922,0.99829973148294,0.998436219447524,0.998318021252517,0.998420875580008,0.998381957215627,0.998581708963056,0.998514548229315,0.998729867860203,0.998888581469686,0.998976029574743,0.99894843185738,0.998906710485103,0.999073705868343,0.999084212847024,0.99912932958378,0.999189419086934,0.999262648659737,0.999324161508456,0.999322098696648,0.9993227276956,0.999384599318211,0.99940218203557,0.999394457089727,0.999408997730774,0.999417436916312,0.999509474643683,0.999570603166666,0.999575044535153,0.999602147338694,0.99959367060436,0.999593819401952,0.99960632641276,0.999612916185147,0.99963467731679,0.999658037532281,0.999662933218854,0.999664128364946,0.999678078895886,0.999686830547395,0.999687573891762,0.999688271672525,0.99969875394849,0.999698384311213,0.99970129690453,0.999727434635101,0.999726405336886,0.999725729299978,0.999733656404655,0.99973235641983,0.999739728686611,0.999738285026546,0.999706108026293,0.999746779133232,0.999738880967515,0.999751502771118,0.999756844654898,0.999766276755362,0.999773405436116,0.999782444904337,0.999789946705809,0.999798293245556,0.999805623496365,0.999813270855831,0.999820228799945,0.999827240329559,0.999833760967101,0.999840204746655,0.999846278072139,0.999852212655082,0.999857851465323,0.999863325401113,0.999868551824006,0.999873605893984,0.99987844544792,0.99988311476634,0.999887593629776,0.999891909132057,0.999896052866315,0.999900042281009,0.999903875245814,0.999907563721074,0.999911108832683,0.999914519349685,0.999917798011688,0.999920951670547,0.999923983791569,0.999926900021119,0.999929704075035,0.999932400796272,0.999934993901613,0.999937487661911,0.999939885668218,0.999942191756083,0.999944409330823,0.999946541876872,0.999948592589673,0.999950564657182,0.999952461059845,0.999954284726933,0.999956038428593,0.999957724863368,0.999959346600632,0.99996090613022,0.999962405832383,0.999963848006506
