"","AÑO","TGF","Tipo"
"1",2020,1.98546822791353,"Proyección"
"2",2021,1.94258445961113,"Proyección"
"3",2022,1.9067111742038,"Proyección"
"4",2023,1.88124832257249,"Proyección"
"5",2024,1.85878707441433,"Proyección"
"6",2025,1.83348052274602,"Proyección"
"7",2026,1.80641499206335,"Proyección"
"8",2027,1.78142434593187,"Proyección"
"9",2028,1.75990594737036,"Proyección"
"10",2029,1.74054179612982,"Proyección"
"11",2030,1.72185350859397,"Proyección"
"12",2031,1.70372667256615,"Proyección"
"13",2032,1.68684316804799,"Proyección"
"14",2033,1.67155924005395,"Proyección"
"15",2034,1.65763793918062,"Proyección"
"16",2035,1.64470172828529,"Proyección"
"17",2036,1.63261184480703,"Proyección"
"18",2037,1.62142939678719,"Proyección"
"19",2038,1.61119472060198,"Proyección"
"20",2039,1.6018343454765,"Proyección"
"21",2040,1.59322876119183,"Proyección"
"22",2041,1.58529667946965,"Proyección"
"23",2042,1.57800376383576,"Proyección"
"24",2043,1.5713231564573,"Proyección"
"25",2044,1.56521044455324,"Proyección"
"26",2045,1.55961121460731,"Proyección"
"27",2046,1.55447795539159,"Proyección"
"28",2047,1.54977484060266,"Proyección"
"29",2048,1.54547131147975,"Proyección"
"30",2049,1.54153612695583,"Proyección"
"31",2050,1.53793746799444,"Proyección"
"32",2051,1.53464593929207,"Proyección"
"33",2052,1.53163593542217,"Proyección"
"34",2053,1.52888465446139,"Proyección"
"35",2054,1.52637073912114,"Proyección"
"36",2055,1.52407394756969,"Proyección"
"37",2056,1.52197555758992,"Proyección"
"38",2057,1.52005862485833,"Proyección"
"39",2058,1.51830779214187,"Proyección"
"40",2059,1.51670894697882,"Proyección"
"41",2060,1.51524903945576,"Proyección"
"42",2061,1.51391606808512,"Proyección"
"43",2062,1.51269907669746,"Proyección"
"44",2063,1.51158807635238,"Proyección"
"45",2064,1.51057392850022,"Proyección"
"46",2065,1.50964825239119,"Proyección"
"47",2066,1.50880337046748,"Proyección"
"48",2067,1.50803226603473,"Proyección"
"49",2068,1.50732853245165,"Proyección"
"50",2069,1.50668631601548,"Proyección"
"51",2070,1.50610026410048,"Proyección"
