Entidad,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Estados Unidos Mexicanos,"659,567","671,640","658,114","670,523","707,840","704,456","743,856","707,422","665,434","616,654","584,142","600,563","595,713","586,978","595,209","589,352","558,913","568,632","570,954","585,434","583,264","577,713","558,022","543,749","528,678","501,298","504,923","335,563","453,085","507,052","501,529","486,645"
Aguascalientes,"6,842","6,824","6,450","6,638","6,921","7,413","7,092","7,088","6,610","6,472","5,972","5,925","6,016","6,018","6,390","6,353","6,256","6,656","6,396","6,210","6,369","6,790","6,893","6,679","6,618","6,608","6,925","4,789","6,793","6,526","6,454","6,233"
Baja California,"14,488","14,273","16,089","15,850","16,053","15,545","17,847","16,907","16,242","15,028","13,712","14,513","14,247","14,450","14,442","14,462","15,953","16,105","15,958","17,535","17,353","17,176","17,364","17,130","16,129","17,157","16,931","11,249","15,326","17,347","17,928","17,467"
Baja California Sur,"2,694","2,758","3,235","3,416","3,161","3,254","3,384","3,174","3,178","3,062","2,919","3,303","3,634","3,739","3,739","3,670","3,216","3,195","2,917","2,856","2,820","2,620","2,751","2,350","2,500","2,244","2,418","1,614","2,311","2,702","2,581","2,660"
Campeche,"5,140","5,359","4,936","5,339","5,630","5,916","6,123","6,000","5,618","4,911","4,849","5,125","4,617","4,686","4,749","4,932","4,787","4,744","4,967","5,267","4,861","5,109","5,005","4,521","4,335","4,398","4,610","2,983","4,932","4,766","4,975","4,566"
Coahuila de Zaragoza,"18,111","17,901","17,514","17,363","18,224","18,891","19,453","18,565","17,502","15,462","15,158","15,386","15,065","15,992","16,143","15,994","14,370","15,551","15,748","15,384","15,861","17,055","17,166","15,508","15,082","14,871","14,982","11,817","14,872","14,316","14,242","14,129"
Colima,"3,111","3,201","3,551","3,474","3,770","4,189","4,057","3,673","3,706","3,492","3,214","3,412","3,430","3,136","3,219","3,232","3,172","3,314","3,375","3,388","3,359","3,400","3,284","3,396","3,146","3,090","3,341","2,508","3,261","3,211","3,162","3,089"
Chiapas,"17,781","19,835","19,323","18,115","19,409","19,862","27,171","20,263","17,990","18,042","17,894","19,093","18,612","19,863","20,145","22,410","22,865","22,974","24,149","24,054","28,054","30,560","24,645","18,347","23,137","22,412","21,477","16,536","12,533","25,533","22,150","21,189"
Chihuahua,"20,462","19,586","18,965","19,204","18,907","19,127","19,831","19,804","20,054","18,242","16,954","16,147","16,364","15,443","16,887","17,852","16,430","16,984","16,295","18,728","19,191","18,789","20,150","19,161","15,989","15,787","16,588","10,828","16,846","16,251","17,325","17,601"
Ciudad de Mexico,"57,460","57,391","54,886","54,565","54,992","53,732","52,707","51,617","47,918","42,695","37,152","42,326","44,658","42,446","41,427","33,968","32,083","34,444","35,086","35,536","37,073","36,664","33,230","32,515","30,868","26,521","27,462","11,938","20,131","27,249","25,501","24,665"
Durango,"11,854","12574.00","12,514","12,443","13,565","14,073","14,651","13,822","12,671","11,568","10,588","10,631","11,451","9,793","11,506","10,925","10,006","10,454","9,795","9,674","9,463","8,704","8,190","7,469","7,269","7,193","7,484","5,965","8,282","7,734","7,735","8,554"
Guanajuato,"39,178","38,459","36,799","38,071","39,558","40,114","42,115","39,613","37,758","33,888","33,860","35,268","36,067","33,944","35,420","35,841","30,309","28,843","28,494","31,310","31,643","32,415","32,937","34,147","32,458","31,590","30,870","17,528","28,436","31,145","28,779","29,187"
Guerrero,"24,073","27,314","26,051","25,216","26,335","25,424","26,724","27,710","23,644","23,580","23,319","24,704","23,999","23,045","23,966","24,354","23,395","23,724","23,611","22,595","20,565","20,250","19,488","20,111","17,314","14,660","14,816","11,792","14,393","15,012","13,653","9,973"
Hidalgo,"13,492","13,822","12,937","13,798","14,054","14,497","15,101","15,207","14,104","13,017","11,134","11,029","10,208","10,000","10,106","10,199","9,116","9,941","10,447","10,143","10,610","10,446","10,913","9,982","9,402","9,075","9,046","6,625","7,378","8,412","8,759","8,502"
Jalisco,"53,022","53,074","50,091","50,063","51,535","51,986","53,507","51,760","47,383","43,286","41,218","41,813","41,165","40,694","40,712","39,932","38,173","40,055","39,350","39,127","39,687","39,821","36,513","37,916","37,756","35,561","35,823","25,699","34,527","36,886","37,186","34,924"
Mexico,"77,916","83,898","82,109","81,716","87,981","90,878","92,864","83,607","80,864","74,151","70,496","72,247","68,747","66,506","65,849","68,122","62,780","68,277","64,417","72,465","70,188","68,166","69,024","68,962","66,914","61,064","63,323","40,940","49,190","61,726","64,785","63,110"
Michoacan de Ocampo,"37,478","35,565","35,802","36,180","37,059","36,319","38,020","34,545","33,359","31,644","30,915","31,259","29,272","28,998","28,521","26,885","27,914","27,948","26,858","26,833","25,238","24,240","23,361","22,703","22,617","20,635","21,144","10,885","18,682","20,545","20,873","19,619"
Morelos,"10,159","10,210","8,559","8,274","9,538","9,538","10,136","9,808","9,589","9,005","8,295","7,685","7,517","7,430","7,460","7,705","6,992","7,317","8,122","7,874","7,421","7,727","7,358","8,155","8,205","7,835","7,332","6,052","7,110","8,090","8,321","8,180"
Nayarit,"6,351","6,664","6,271","7,268","7,388","7,257","7,648","7,006","6,818","6,422","6,388","6,475","6,509","6,478","6,035","5,664","5,409","5,591","6,040","6,112","5,540","5,616","5,623","5,709","5,363","5,465","5,441","3,876","4,778","4,823","4,671","4,440"
Nuevo Leon,"30,950","31,392","30,949","31,940","33,899","35,380","36,239","34,398","32,029","30,655","29,607","29,086","28,364","28,448","28,929","28,535","26,096","27,988","27,328","26,942","26,152","25,084","25,378","27,056","25,594","25,663","25,699","19,611","25,894","25,362","26,470","26,174"
Oaxaca,"18,784","19,578","19,191","21,680","27,920","20,343","24,113","23,897","20,301","18,420","17,416","20,505","22,828","19,734","22,040","21,132","21,232","20,373","21,092","20,922","20,259","17,301","17,199","17,099","16,131","15,822","15,458","10,773","12,916","11,798","13,793","14,364"
Puebla,"25,017","21,558","20,739","21,758","24,178","25,030","29,747","28,906","25,811","23,066","22,130","21,158","20,922","22,024","21,827","21,011","21,378","20,483","19,441","21,027","19,229","17,525","18,219","18,780","18,776","17,711","17,149","12,695","16,167","17,232","15,677","16,177"
Queretaro,"9,395","10,034","9,977","9,886","10,164","10,054","10,525","10,459","9,858","9,462","9,654","9,079","8,802","8,932","8,938","8,879","8,265","8,316","9,037","9,253","9,734","9,729","9,475","9,105","9,587","8,686","8,855","5,631","8,038","9,641","9,303","8,953"
Quintana Roo,"5,487","5,508","5,850","6,382","6,529","7,178","7,969","8,908","8,467","8,009","8,928","10,566","10,295","11,025","11,530","10,914","9,472","9,735","9,497","9,180","10,191","10,531","10,691","10,408","10,724","10,681","10,734","7,104","10,564","12,803","10,815","10,376"
San Luis Potosi,"16,056","16,152","15,543","16,264","16,426","16,714","17,500","16,796","15,568","14,744","13,926","14,775","13,909","13,649","13,403","13,500","12,999","12,429","13,088","13,452","13,478","13,586","12,819","12,491","11,745","11,565","11,942","8,831","11,166","11,893","11,414","11,038"
Sinaloa,"18,078","20,478","19,662","21,000","21,551","21,436","21,931","20,423","20,054","19,638","17,567","18,288","18,047","18,299","18,327","18,519","16,313","16,448","17,253","17,088","17,080","17,183","17,333","16,814","16,242","16,021","16,335","11,557","15,772","16,270","15,767","15,465"
Sonora,"13,187","13,763","14,765","16,203","17,259","16,463","17,227","17,214","17,366","16,467","15,020","14,874","14,511","15,079","14,984","15,365","13,774","14,247","14,422","14,505","15,926","16,035","15,682","15,313","15,192","15,213","15,579","10,910","14,271","13,823","14,650","13,490"
Tabasco,"11,519","11,194","11,734","13,466","13,790","13,310","14,388","13,421","13,213","12,873","12,204","12,824","12,645","12,505","12,229","12,952","13,005","10,706","11,419","11,097","11,628","11,893","10,872","10,260","10,604","8,984","9,489","4,095","9,492","9,987","9,756","9,359"
Tamaulipas,"18,983","20,542","21,141","19,726","20,333","20,604","24,269","21,564","20,726","19,497","17,338","17,399","17,615","18,681","19,312","18,595","17,765","18,443","19,027","18,248","17,613","17,406","16,649","16,097","14,372","13,749","14,295","9,730","13,968","13,372","13,012","12,549"
Tlaxcala,"7,696","8,242","8,151","8,218","8,508","9,228","8,327","8,627","7,472","7,256","6,476","6,611","6,251","6,240","5,931","5,295","4,727","5,077","5,096","5,750","5,704","4,260","5,196","4,901","4,355","3,936","3,878","2,530","3,340","3,774","3,806","3,365"
Veracruz de Ignacio de la Llave,"38,639","38,461","39,443","41,766","45,490","44,411","46,064","46,963","45,651","39,453","36,830","37,348","37,816","37,256","38,463","38,731","38,149","36,487","40,568","41,356","39,510","39,415","35,030","31,393","32,031","29,143","28,347","20,209","23,893","31,158","31,833","31,399"
Yucatan,"13,225","13,159","12,274","12,537","14,726","13,101","13,840","13,659","12,736","12,358","12,224","10,872","11,933","12,802","13,036","14,056","12,695","12,167","12,027","11,960","12,469","13,205","10,740","10,802","10,177","10,168","9,718","3,118","10,784","10,631","9,486","9,518"
Zacatecas,"12,939","12,871","12,613","12,704","12,987","13,189","13,286","12,018","11,174","10,789","10,785","10,837","10,197","9,643","9,544","9,368","9,817","9,616","9,634","9,563","8,995","9,012","8,844","8,469","8,046","7,790","7,432","5,145","7,039","7,034","6,667","6,330"
