Year,Total,Menores de 15 a–os,De 15 a 19 a–os,De 20 a 24 a–os,De 25 a 29 a–os,De 30 a 34 a–os,De 35 a 39 a–os,De 40 a 44 a–os,De 45 a 49 a–os,De 50 a–os y m‡s,No especificado,,
1993,659567,9930,227218,244364,104705,36185,15781,7955,4800,8629,,,
1994,671640,9783,222621,250526,110378,38742,16657,8659,5074,9200,,,
1995,658114,9136,213773,245537,110763,38797,17072,8502,5122,9412,,,
1996,670523,8616,208955,248591,118021,41751,18775,9499,5894,10421,,,
1997,707840,9493,218142,256777,127326,45619,20869,11181,6580,11853,,,
1998,704456,9100,216809,255541,130411,45423,19848,10383,6094,10847,,,
1999,743856,9005,221571,262171,142456,51580,23587,12724,7475,13287,,,
2000,707422,8345,208090,243353,140046,51131,23276,12392,7740,13049,,,
2001,665434,7245,188887,226389,134343,51129,23267,12735,7939,13500,,,
2002,616654,6498,172569,210334,126194,49124,21304,11403,7101,12127,,,
2003,584142,5767,159789,198599,120060,48765,20718,11282,7144,12018,,,
2004,600563,5686,158523,201349,123279,53071,23221,13046,8206,14182,,,
2005,595713,4366,151639,198189,122770,55394,24753,13647,8843,15248,864,,
2006,586978,4014,148442,194555,122443,55144,25056,13519,8545,14500,760,,
2007,595209,3902,146420,194216,124986,57224,26902,14608,9726,16412,813,,
2008,589352,3791,141740,188511,126366,57435,27755,15193,10122,17630,809,,
2009,558913,3299,127949,176055,122924,56140,27898,15331,10508,17770,1039,,
2010,568561,2835,123203,174401,125573,58486,30005,16727,11012,19004,7315,,
2011,570842,2443,121324,176067,129781,60993,31187,17253,11408,19504,882,,
2012,585392,2111,117587,179376,134513,64999,33245,18840,12162,20784,1775,,
2013,583151,1470,110649,176936,134413,67147,35112,20299,13194,22484,1447,,
2014,577640,791,96388,173480,136307,71061,36476,22156,14510,25153,1318,,
2015,557997,606,80522,166673,137169,72125,37108,22867,14945,24967,1015,,
2016,543790,212,68123,160849,135850,73189,38396,23944,15792,26454,981,,
2017,528820,33,58110,150110,135087,74187,39903,25221,17285,28158,726,,
2018,501679,4,51405,134902,129750,72574,39732,25604,18096,28882,730,,
2019,505311,,47352,129808,131213,74837,42329,26816,20013,32259,684,,
2020,335869,1,28168,85899,87361,49952,28076,18253,13937,23211,1011,,
2021,453736,,33211,110247,121010,72441,40025,25030,19131,31431,1210,,
2022,508175,1,33550,118302,128935,84443,47866,30889,23104,40002,1083,,
2023,502851,1,29675,111709,125742,84751,48624,31764,24344,44021,2220,,
2024,488091,,25904,104176,121925,84837,48590,31575,23912,45994,1178,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
