A–o,Total,Menores de 15 a–os,De 15 a 19 a–os,De 20 a 24 a–os,De 25 a 29 a–os,De 30 a 34 a–os,De 35 a 39 a–os,De 40 a 44 a–os,De 45 a 49 a–os,De 50 a–os y m‡s,No especificado,,
1993,659567,711,108333,270973,158066,60892,24488,12059,7311,16734,,,
1994,671640,657,105060,275666,162161,63920,26201,12834,7694,17447,,,
1995,658114,584,97511,269021,161279,64422,26833,13069,7582,17813,,,
1996,670523,495,93475,268310,168326,67859,29150,14470,8558,19880,,,
1997,707840,617,98356,277415,178417,72786,31839,16517,9734,22159,,,
1998,704456,571,97762,275221,182025,72583,31232,15557,8826,20679,,,
1999,743856,432,100317,279710,194658,79061,35831,18654,10605,24588,,,
2000,707422,684,95878,257844,186990,77951,34904,18056,11030,24085,,,
2001,665434,466,86922,236321,176987,76429,33917,18618,10920,24854,,,
2002,616654,791,79473,217228,165299,73322,31711,16727,9918,22185,,,
2003,584142,651,72248,204677,156597,71657,30433,16217,9716,21946,,,
2004,600563,684,71804,205552,157519,77228,33181,18126,10981,25488,,,
2005,595713,119,68082,199676,156104,78893,34734,18829,11627,27093,556,,
2006,586978,77,66559,194375,155156,79094,35032,18670,11643,25868,504,,
2007,595209,133,65788,192665,155933,81680,37568,19538,12440,28815,649,,
2008,589352,134,63472,185919,155727,81228,39001,20145,12786,30270,670,,
2009,558913,108,56217,170390,149795,78998,38932,20241,12601,30969,662,,
2010,568703,100,53600,167012,149792,81636,41647,21656,13663,32598,6999,,
2011,571066,81,52648,168171,152893,83951,42554,22512,14060,33515,681,,
2012,585476,71,50665,168624,156445,88401,45435,24335,14897,35584,1019,,
2013,583377,50,46697,164707,152904,90167,46999,26466,15954,37892,1541,,
2014,577786,31,39504,157173,150543,92283,48313,28484,17329,41414,2712,,
2015,558047,10,31683,146647,148687,92233,48893,29063,17859,41822,1150,,
2016,543708,7,25469,138064,145323,91424,49172,29960,19156,44352,781,,
2017,528536,,21114,126147,142082,90705,49741,30832,20252,47007,656,,
2018,500917,,18085,112535,134420,86719,49154,30372,20908,48064,660,,
2019,504535,,18162,106200,133887,87886,51127,31536,22437,52637,663,,
2020,335257,,9718,67947,89761,58728,33674,20902,15594,37978,955,,
2021,452434,1,11571,85901,121122,83599,46987,28827,21257,52028,1141,,
2022,505929,,12143,91030,127453,94774,55338,34880,25583,63803,925,,
2023,500207,,11109,84704,122582,94484,55039,35477,26110,68593,2109,,
2024,485199,,10351,78499,116579,92653,54971,35053,25434,70575,1084,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
