Escolaridad,Total,Sin escolaridad,Primaria,Secundaria o equivalente,Preparatoria o equivalente,Profesional,Otra,No especificada,
Total,"486,645","3,597","42,495","115,990","138,131","139,650","10,134","36,648",
Sin escolaridad,"3,584","1,298","1,209",752,195,67,32,31,
Primaria,"47,225","1,484","21,729","15,817","5,948","1,909",140,198,
Secundaria o equivalente,"115,615",547,"13,195","61,693","29,055","10,288",355,482,
Preparatoria o equivalente,"141,329",155,"4,772","29,382","77,433","28,514",515,558,
Profesional,"132,818",71,"1,347","7,639","24,658","96,920","1,334",849,
Otra,"10,154",28,135,396,516,"1,265","7,659",155,
No especificada,"35,920",14,108,311,326,687,99,"34,375",
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
