Entidad,Sexo,Total,Hombre,Mujer,
Total,Total,"486,645","2,433","484,212",
Aguascalientes,Total,"6,233",28,"6,205",
Baja California,Total,"17,467",157,"17,310",
Baja California Sur,Total,"2,660",22,"2,638",
Campeche,Total,"4,566",13,"4,553",
Coahuila de Zaragoza,Total,"14,129",15,"14,114",
Colima,Total,"3,089",11,"3,078",
Chiapas,Total,"21,189",19,"21,170",
Chihuahua,Total,"17,601",70,"17,531",
Ciudad de Mexico,Total,"24,665",453,"24,212",
Durango,Total,"8,554",41,"8,513",
Guanajuato,Total,"29,187",92,"29,095",
Guerrero,Total,"9,973",5,"9,968",
Hidalgo,Total,"8,502",,"8,502",
Jalisco,Total,"34,924",315,"34,609",
Mexico,Total,"63,110",393,"62,717",
Michoacan de Ocampo,Total,"19,619",98,"19,521",
Morelos,Total,"8,180",58,"8,122",
Nayarit,Total,"4,440",52,"4,388",
Nuevo Leon,Total,"26,174",41,"26,133",
Oaxaca,Total,"14,364",,"14,364",
Puebla,Total,"16,177",38,"16,139",
Queretaro,Total,"8,953",86,"8,867",
Quintana Roo,Total,"10,376",29,"10,347",
San Luis Potosi,Total,"11,038",55,"10,983",
Sinaloa,Total,"15,465",113,"15,352",
Sonora,Total,"13,490",114,"13,376",
Tabasco,Total,"9,359",20,"9,339",
Tamaulipas,Total,"12,549",45,"12,504",
Tlaxcala,Total,"3,365",19,"3,346",
Veracruz de Ignacio de la Llave,Total,"31,399",3,"31,396",
Yucatan,Total,"9,518",4,"9,514",
Zacatecas,Total,"6,330",24,"6,306",
Total,Hombre,"482,766","2,433","480,333",
Aguascalientes,Hombre,"6,180",28,"6,152",
Baja California,Hombre,"17,177",157,"17,020",
Baja California Sur,Hombre,"2,604",22,"2,582",
Campeche,Hombre,"4,530",13,"4,517",
Coahuila de Zaragoza,Hombre,"14,099",15,"14,084",
Colima,Hombre,"3,049",11,"3,038",
Chiapas,Hombre,"21,146",19,"21,127",
Chihuahua,Hombre,"17,466",70,"17,396",
Ciudad de Mexico,Hombre,"24,115",453,"23,662",
Durango,Hombre,"8,476",41,"8,435",
Guanajuato,Hombre,"29,000",92,"28,908",
Guerrero,Hombre,"9,963",5,"9,958",
Hidalgo,Hombre,"8,502",,"8,502",
Jalisco,Hombre,"34,422",315,"34,107",
Mexico,Hombre,"62,477",393,"62,084",
Michoacan de Ocampo,Hombre,"19,439",98,"19,341",
Morelos,Hombre,"8,095",58,"8,037",
Nayarit,Hombre,"4,381",52,"4,329",
Nuevo Leon,Hombre,"26,080",41,"26,039",
Oaxaca,Hombre,"14,364",,"14,364",
Puebla,Hombre,"16,124",38,"16,086",
Queretaro,Hombre,"8,853",86,"8,767",
Quintana Roo,Hombre,"10,354",29,"10,325",
San Luis Potosi,Hombre,"10,945",55,"10,890",
Sinaloa,Hombre,"15,286",113,"15,173",
Sonora,Hombre,"13,322",114,"13,208",
Tabasco,Hombre,"9,306",20,"9,286",
Tamaulipas,Hombre,"12,476",45,"12,431",
Tlaxcala,Hombre,"3,349",19,"3,330",
Veracruz de Ignacio de la Llave,Hombre,"31,397",3,"31,394",
Yucatan,Hombre,"9,501",4,"9,497",
Zacatecas,Hombre,"6,288",24,"6,264",
Total,Mujer,"3,879",,"3,879",
Aguascalientes,Mujer,53,,53,
Baja California,Mujer,290,,290,
Baja California Sur,Mujer,56,,56,
Campeche,Mujer,36,,36,
Coahuila de Zaragoza,Mujer,30,,30,
Colima,Mujer,40,,40,
Chiapas,Mujer,43,,43,
Chihuahua,Mujer,135,,135,
Ciudad de Mexico,Mujer,550,,550,
Durango,Mujer,78,,78,
Guanajuato,Mujer,187,,187,
Guerrero,Mujer,10,,10,
Jalisco,Mujer,502,,502,
Mexico,Mujer,633,,633,
Michoacan de Ocampo,Mujer,180,,180,
Morelos,Mujer,85,,85,
Nayarit,Mujer,59,,59,
Nuevo Leon,Mujer,94,,94,
Puebla,Mujer,53,,53,
Queretaro,Mujer,100,,100,
Quintana Roo,Mujer,22,,22,
San Luis Potosi,Mujer,93,,93,
Sinaloa,Mujer,179,,179,
Sonora,Mujer,168,,168,
Tabasco,Mujer,53,,53,
Tamaulipas,Mujer,73,,73,
Tlaxcala,Mujer,16,,16,
Veracruz de Ignacio de la Llave,Mujer,2,,2,
Yucatan,Mujer,17,,17,
Zacatecas,Mujer,42,,42,
