Entidad,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Total,"34,114","38,827","45,323","47,464","46,039","46,481","50,001","51,953","32,483","35,029","37,455","38,545","40,792","45,889","49,271","52,358","57,370","60,641","64,248","67,575","70,184","72,396","77,255","81,851","84,302","86,042","91,285","99,509","108,727","113,478","123,883","139,807","147,581","156,556","160,107","92,739","149,675","166,766","163,587","161,932"
Aguascalientes,211,237,261,249,289,330,380,367,389,445,460,480,600,658,761,780,950,980,"1,128","1,235","1,226","1,191","1,084","1,302","1,306","1,427","1,194","1,417","1,522","1,351","1,736","3,607","3,607","3,542","3,367","2,953","3,558","3,252","3,368","3,154"
Baja California,"1,469","1,812","1,385","1,840","1,803","1,610","1,711","2,031","1,817","1,678","1,148","1,320","1,368","1,617","1,640","1,858","2,595","2,959","3,457","3,803","4,531","4,317","3,263","3,359","3,149","3,123","3,410","3,294","3,378","3,037","3,649","3,686","3,223","3,889","4,144","1,587","4,083","4,718","4,787","4,038"
Baja California Sur,210,202,269,238,232,269,318,266,247,252,354,368,358,433,412,425,477,535,520,567,577,557,609,752,690,564,712,744,837,731,739,899,881,"1,067","1,036",770,"1,181","1,150","1,042","1,024"
Campeche,219,218,175,236,219,240,293,289,326,370,353,405,439,537,567,560,591,627,678,731,761,828,779,841,890,934,991,"1,138","1,192","1,361","1,218","2,579","2,168","2,011","2,544","1,529","3,008","3,111","3,133","3,183"
Coahuila de Zaragoza,"1,524","1,415","2,086","2,035","2,109","2,009","2,192","2,216","1,092","1,136","1,279","1,293","1,447","1,760","1,699","1,933","1,788","1,873","1,987","2,169","2,525","2,982","3,173","3,333","3,581","3,261","3,392","3,668","5,518","7,166","6,184","5,964","4,650","6,280","7,522","6,230","8,268","7,456","7,060","7,185"
Colima,80,186,312,479,563,504,565,603,279,252,318,411,528,447,467,498,565,574,628,732,673,741,849,862,946,924,873,658,745,893,882,"1,073","1,311","1,255","1,241",739,958,"1,183","1,172","1,003"
Chiapas,"1,570","1,606","2,016","2,074","1,749","1,648","1,555","1,497",738,743,786,800,878,883,"1,370","1,202",956,"1,048","1,173","1,260","1,343","1,457","1,529","1,618","1,588","1,722","1,852","2,120","2,103","2,301","2,548","2,420","2,729","2,717","3,085","1,186","3,687","4,362","4,266","4,185"
Chihuahua,"2,492","3,475","3,849","4,103","3,832","4,062","4,338","4,562","2,331","2,348","2,578","2,695","3,149","3,468","3,758","3,727","4,151","4,297","4,520","4,653","5,004","4,077","4,667","4,804","4,810","5,174","5,694","6,203","6,190","5,918","7,076","8,392","8,930","8,976","8,897","5,027","8,324","8,136","7,483","7,684"
Ciudad de México,"3,326","4,281","4,891","5,525","5,505","5,610","5,871","6,375","5,786","6,609","6,831","6,904","6,410","6,806","7,263","7,265","7,724","7,691","7,418","6,785","7,106","6,924","7,035","7,692","9,386","11,053","11,385","11,105","11,030","10,233","12,214","12,780","12,631","12,720","12,221","5,134","8,483","11,682","10,530","10,192"
Durango,665,500,713,651,668,608,797,748,607,603,764,723,889,930,946,"1,054","1,047","1,128","1,114","1,119","1,156","1,359","1,417","1,304","1,342","1,379","1,435","1,613","1,585","1,751","1,935","1,780","2,083","2,068","1,988","1,219","2,111","2,006","1,839","2,005"
Guanajuato,"1,220","1,359","1,555","1,632","1,554","1,600","1,922","2,163",779,891,812,"1,088","1,241","1,647","1,895","2,077","2,168","2,395","2,803","2,825","3,350","3,601","3,933","4,294","4,398","4,464","4,741","4,806","5,780","6,279","7,383","8,223","8,703","9,545","10,550","7,561","9,211","9,272","8,018","7,645"
Guerrero,330,432,734,578,531,573,943,"1,003",490,481,605,626,612,758,800,915,"1,003","1,152","1,148","1,124","1,219","1,178","1,391","1,198","1,194","1,344","1,319","1,683","2,329","2,154","2,006","2,697","3,192","3,613","3,679","1,578","2,905","4,737","4,032","3,895"
Hidalgo,295,357,554,678,569,608,534,566,301,326,336,356,363,362,369,458,614,557,603,534,704,754,822,925,"1,313","1,301","1,390","1,916","2,261","2,528","2,567","2,463","2,628","2,785","3,465","2,113","3,385","4,135","3,968","3,959"
Jalisco,"2,002","2,276","2,903","2,868","2,892","2,885","3,184","3,517","2,099","2,055","2,011","1,555","1,853","2,216","2,418","2,566","3,041","3,073","2,999","3,172","3,270","3,724","4,288","4,429","4,167","4,340","4,392","4,283","4,211","4,322","4,222","4,732","4,721","4,944","5,444","3,713","6,417","7,240","7,961","7,816"
México,"2,449","2,848","3,531","3,728","3,484","3,723","3,879","4,402","2,062","2,642","3,209","3,672","3,736","4,569","5,270","6,032","6,510","6,816","7,311","7,571","7,431","7,716","7,894","7,975","8,184","8,304","8,937","12,890","18,253","18,968","19,944","20,026","20,426","19,409","20,295","8,920","11,258","15,992","17,513","15,061"
