"Notes"	"County"	"County Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"1999"	"1999"	"Female"	"F"	0	624	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"1999"	"1999"	"Male"	"M"	0	623	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2000"	"2000"	"Female"	"F"	0	617	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2000"	"2000"	"Male"	"M"	0	615	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2001"	"2001"	"Female"	"F"	0	559	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2001"	"2001"	"Male"	"M"	0	542	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2002"	"2002"	"Female"	"F"	0	535	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2002"	"2002"	"Male"	"M"	0	515	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2003"	"2003"	"Female"	"F"	0	534	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2003"	"2003"	"Male"	"M"	0	550	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2004"	"2004"	"Female"	"F"	0	569	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2004"	"2004"	"Male"	"M"	0	642	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2005"	"2005"	"Female"	"F"	0	579	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2005"	"2005"	"Male"	"M"	0	613	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2006"	"2006"	"Female"	"F"	0	547	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2006"	"2006"	"Male"	"M"	0	569	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2007"	"2007"	"Female"	"F"	0	543	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2007"	"2007"	"Male"	"M"	0	533	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2008"	"2008"	"Female"	"F"	0	537	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2008"	"2008"	"Male"	"M"	0	561	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2009"	"2009"	"Female"	"F"	0	518	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2009"	"2009"	"Male"	"M"	0	613	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2010"	"2010"	"Female"	"F"	0	547	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2010"	"2010"	"Male"	"M"	0	627	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2011"	"2011"	"Female"	"F"	0	535	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2011"	"2011"	"Male"	"M"	0	564	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2012"	"2012"	"Female"	"F"	0	563	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2012"	"2012"	"Male"	"M"	0	593	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2013"	"2013"	"Female"	"F"	0	519	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2013"	"2013"	"Male"	"M"	0	552	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2014"	"2014"	"Female"	"F"	0	485	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2014"	"2014"	"Male"	"M"	0	519	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2015"	"2015"	"Female"	"F"	0	510	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2015"	"2015"	"Male"	"M"	0	542	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2016"	"2016"	"Female"	"F"	0	485	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2016"	"2016"	"Male"	"M"	0	516	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2017"	"2017"	"Female"	"F"	0	515	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2017"	"2017"	"Male"	"M"	0	544	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2018"	"2018"	"Female"	"F"	0	466	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2018"	"2018"	"Male"	"M"	0	495	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2019"	"2019"	"Female"	"F"	0	456	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2019"	"2019"	"Male"	"M"	0	480	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2020 "	"2020"	"Female"	"F"	0	431	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"< 1 year"	"1"	"2020 "	"2020"	"Male"	"M"	0	457	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"1999"	"1999"	"Female"	"F"	0	2552	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"1999"	"1999"	"Male"	"M"	0	2618	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2000"	"2000"	"Female"	"F"	0	2485	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2000"	"2000"	"Male"	"M"	0	2583	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2001"	"2001"	"Female"	"F"	0	2338	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2001"	"2001"	"Male"	"M"	0	2382	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2002"	"2002"	"Female"	"F"	0	2284	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2002"	"2002"	"Male"	"M"	0	2356	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2003"	"2003"	"Female"	"F"	0	2303	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2003"	"2003"	"Male"	"M"	0	2319	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2004"	"2004"	"Female"	"F"	0	2243	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2004"	"2004"	"Male"	"M"	0	2277	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2005"	"2005"	"Female"	"F"	0	2262	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2005"	"2005"	"Male"	"M"	0	2282	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2006"	"2006"	"Female"	"F"	0	2431	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2006"	"2006"	"Male"	"M"	0	2315	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2007"	"2007"	"Female"	"F"	0	2517	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2007"	"2007"	"Male"	"M"	0	2424	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2008"	"2008"	"Female"	"F"	0	2560	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2008"	"2008"	"Male"	"M"	0	2393	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2009"	"2009"	"Female"	"F"	0	2485	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2009"	"2009"	"Male"	"M"	0	2342	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2010"	"2010"	"Female"	"F"	0	2412	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2010"	"2010"	"Male"	"M"	0	2374	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2011"	"2011"	"Female"	"F"	0	2472	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2011"	"2011"	"Male"	"M"	0	2547	Unreliable	0.0000%
	"Apache County, AZ"	"04001"	"1-4 years"	"1-4"	"2012"	"2012"	"Female"	"F"	0	2411	Unreliable	0.0000%
